Year,Series,Units,Value
2015,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,94.7
2021,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,98.1
2019,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,97.0
2018,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,95.2
2019,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,82.7
2015,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,79.4
2021,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,82.9
2020,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,99.4
2016,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,95.5
2017,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,77.9
2022,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,94.9
2018,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,80.9
2016,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,79.1
2020,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,81.5
2017,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,96.0
2022,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Porcentaje,84.7
