Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2019,SP_ACS_BSRVH2O,,,,Porcentaje,,99.9
2023,SP_ACS_BSRVH2O,,,,Porcentaje,,99.9
2010,SP_ACS_BSRVSAN,,,,Porcentaje,,99.5
2022,SP_ACS_BSRVH2O,,,,Porcentaje,,99.9
2014,SP_ACS_BSRVH2O,,,,Porcentaje,,99.9
2015,SP_ACS_BSRVSAN,,,,Porcentaje,,99.6
2021,SP_ACS_BSRVH2O,,,,Porcentaje,,99.9
2013,SP_ACS_BSRVH2O,,,,Porcentaje,,99.9
2021,SP_ACS_BSRVSAN,,,,Porcentaje,,99.8
2016,SP_ACS_BSRVH2O,,,,Porcentaje,,99.9
2015,SP_ACS_BSRVH2O,,,,Porcentaje,,99.9
2020,SP_ACS_BSRVSAN,,,,Porcentaje,,99.8
2016,SP_ACS_BSRVSAN,,,,Porcentaje,,99.6
2020,SP_ACS_BSRVH2O,,,,Porcentaje,,99.9
2018,SP_ACS_BSRVH2O,,,,Porcentaje,,99.9
2013,SP_ACS_BSRVSAN,,,,Porcentaje,,99.6
2023,SP_ACS_BSRVSAN,,,,Porcentaje,,99.8
2019,SP_ACS_BSRVSAN,,,,Porcentaje,,99.6
2022,SP_ACS_BSRVSAN,,,,Porcentaje,,99.8
2014,SP_ACS_BSRVSAN,,,,Porcentaje,,99.6
2018,SP_ACS_BSRVSAN,,,,Porcentaje,,99.6
2010,SP_ACS_BSRVH2O,,,,Porcentaje,,99.9
2022,SP_ACS_BSRVH2O,,,Abadiño,Porcentaje,Abadiño,100.0
2015,SP_ACS_BSRVSAN,,,Abadiño,Porcentaje,Abadiño,99.7
2016,SP_ACS_BSRVH2O,,,Abadiño,Porcentaje,Abadiño,100.0
2010,SP_ACS_BSRVSAN,,,Abadiño,Porcentaje,Abadiño,99.7
2023,SP_ACS_BSRVH2O,,,Abadiño,Porcentaje,Abadiño,100.0
2015,SP_ACS_BSRVH2O,,,Abadiño,Porcentaje,Abadiño,100.0
2013,SP_ACS_BSRVSAN,,,Abadiño,Porcentaje,Abadiño,99.7
2019,SP_ACS_BSRVSAN,,,Abadiño,Porcentaje,Abadiño,99.8
2020,SP_ACS_BSRVH2O,,,Abadiño,Porcentaje,Abadiño,100.0
2021,SP_ACS_BSRVH2O,,,Abadiño,Porcentaje,Abadiño,100.0
2021,SP_ACS_BSRVSAN,,,Abadiño,Porcentaje,Abadiño,100.0
2019,SP_ACS_BSRVH2O,,,Abadiño,Porcentaje,Abadiño,100.0
2010,SP_ACS_BSRVH2O,,,Abadiño,Porcentaje,Abadiño,100.0
2018,SP_ACS_BSRVSAN,,,Abadiño,Porcentaje,Abadiño,99.8
2022,SP_ACS_BSRVSAN,,,Abadiño,Porcentaje,Abadiño,100.0
2014,SP_ACS_BSRVSAN,,,Abadiño,Porcentaje,Abadiño,99.7
2020,SP_ACS_BSRVSAN,,,Abadiño,Porcentaje,Abadiño,100.0
2018,SP_ACS_BSRVH2O,,,Abadiño,Porcentaje,Abadiño,100.0
2014,SP_ACS_BSRVH2O,,,Abadiño,Porcentaje,Abadiño,100.0
2013,SP_ACS_BSRVH2O,,,Abadiño,Porcentaje,Abadiño,100.0
2016,SP_ACS_BSRVSAN,,,Abadiño,Porcentaje,Abadiño,99.7
2023,SP_ACS_BSRVSAN,,,Abadiño,Porcentaje,Abadiño,100.0
2019,SP_ACS_BSRVH2O,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2018,SP_ACS_BSRVH2O,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2020,SP_ACS_BSRVH2O,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2014,SP_ACS_BSRVH2O,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2018,SP_ACS_BSRVSAN,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2014,SP_ACS_BSRVSAN,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2022,SP_ACS_BSRVSAN,,,Abaltzisketa,Porcentaje,Abaltzisketa,98.1
2013,SP_ACS_BSRVSAN,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2021,SP_ACS_BSRVSAN,,,Abaltzisketa,Porcentaje,Abaltzisketa,98.2
2015,SP_ACS_BSRVSAN,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2016,SP_ACS_BSRVSAN,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2020,SP_ACS_BSRVSAN,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2023,SP_ACS_BSRVH2O,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2021,SP_ACS_BSRVH2O,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2022,SP_ACS_BSRVH2O,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2023,SP_ACS_BSRVSAN,,,Abaltzisketa,Porcentaje,Abaltzisketa,98.2
2010,SP_ACS_BSRVH2O,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2010,SP_ACS_BSRVSAN,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2013,SP_ACS_BSRVH2O,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2016,SP_ACS_BSRVH2O,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2019,SP_ACS_BSRVSAN,,,Abaltzisketa,Porcentaje,Abaltzisketa,96.4
2015,SP_ACS_BSRVH2O,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2020,SP_ACS_BSRVSAN,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.9
2013,SP_ACS_BSRVH2O,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2016,SP_ACS_BSRVH2O,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.8
2021,SP_ACS_BSRVSAN,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.9
2018,SP_ACS_BSRVH2O,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.8
2015,SP_ACS_BSRVH2O,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.8
2010,SP_ACS_BSRVSAN,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.2
2020,SP_ACS_BSRVH2O,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2014,SP_ACS_BSRVH2O,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.8
2023,SP_ACS_BSRVSAN,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.9
2022,SP_ACS_BSRVSAN,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.9
2014,SP_ACS_BSRVSAN,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.2
2016,SP_ACS_BSRVSAN,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.2
2018,SP_ACS_BSRVSAN,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.1
2019,SP_ACS_BSRVH2O,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2010,SP_ACS_BSRVH2O,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.8
2021,SP_ACS_BSRVH2O,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2013,SP_ACS_BSRVSAN,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.2
2019,SP_ACS_BSRVSAN,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.1
2023,SP_ACS_BSRVH2O,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2015,SP_ACS_BSRVSAN,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.1
2022,SP_ACS_BSRVH2O,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2015,SP_ACS_BSRVSAN,,,Aduna,Porcentaje,Aduna,97.2
2016,SP_ACS_BSRVSAN,,,Aduna,Porcentaje,Aduna,97.2
2018,SP_ACS_BSRVSAN,,,Aduna,Porcentaje,Aduna,97.1
2014,SP_ACS_BSRVH2O,,,Aduna,Porcentaje,Aduna,100.0
2020,SP_ACS_BSRVSAN,,,Aduna,Porcentaje,Aduna,96.5
2023,SP_ACS_BSRVSAN,,,Aduna,Porcentaje,Aduna,96.7
2023,SP_ACS_BSRVH2O,,,Aduna,Porcentaje,Aduna,100.0
2019,SP_ACS_BSRVH2O,,,Aduna,Porcentaje,Aduna,100.0
2022,SP_ACS_BSRVSAN,,,Aduna,Porcentaje,Aduna,96.6
2016,SP_ACS_BSRVH2O,,,Aduna,Porcentaje,Aduna,100.0
2010,SP_ACS_BSRVH2O,,,Aduna,Porcentaje,Aduna,100.0
2010,SP_ACS_BSRVSAN,,,Aduna,Porcentaje,Aduna,96.9
2013,SP_ACS_BSRVH2O,,,Aduna,Porcentaje,Aduna,100.0
2013,SP_ACS_BSRVSAN,,,Aduna,Porcentaje,Aduna,97.1
2019,SP_ACS_BSRVSAN,,,Aduna,Porcentaje,Aduna,96.4
2021,SP_ACS_BSRVH2O,,,Aduna,Porcentaje,Aduna,100.0
2022,SP_ACS_BSRVH2O,,,Aduna,Porcentaje,Aduna,100.0
2021,SP_ACS_BSRVSAN,,,Aduna,Porcentaje,Aduna,96.6
2020,SP_ACS_BSRVH2O,,,Aduna,Porcentaje,Aduna,100.0
2018,SP_ACS_BSRVH2O,,,Aduna,Porcentaje,Aduna,100.0
2015,SP_ACS_BSRVH2O,,,Aduna,Porcentaje,Aduna,100.0
2014,SP_ACS_BSRVSAN,,,Aduna,Porcentaje,Aduna,97.1
2016,SP_ACS_BSRVSAN,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2015,SP_ACS_BSRVSAN,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2013,SP_ACS_BSRVH2O,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2013,SP_ACS_BSRVSAN,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.8
2018,SP_ACS_BSRVSAN,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2010,SP_ACS_BSRVH2O,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2022,SP_ACS_BSRVSAN,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2018,SP_ACS_BSRVH2O,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2015,SP_ACS_BSRVH2O,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2021,SP_ACS_BSRVH2O,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2020,SP_ACS_BSRVH2O,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2022,SP_ACS_BSRVH2O,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2019,SP_ACS_BSRVSAN,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2021,SP_ACS_BSRVSAN,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2016,SP_ACS_BSRVH2O,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2014,SP_ACS_BSRVSAN,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2014,SP_ACS_BSRVH2O,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2023,SP_ACS_BSRVH2O,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2019,SP_ACS_BSRVH2O,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2023,SP_ACS_BSRVSAN,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.8
2020,SP_ACS_BSRVSAN,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2010,SP_ACS_BSRVSAN,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.8
2013,SP_ACS_BSRVH2O,,,Aia,Porcentaje,Aia,99.7
2022,SP_ACS_BSRVH2O,,,Aia,Porcentaje,Aia,99.7
2010,SP_ACS_BSRVSAN,,,Aia,Porcentaje,Aia,99.7
2020,SP_ACS_BSRVH2O,,,Aia,Porcentaje,Aia,99.7
2015,SP_ACS_BSRVSAN,,,Aia,Porcentaje,Aia,99.6
2016,SP_ACS_BSRVH2O,,,Aia,Porcentaje,Aia,99.7
2019,SP_ACS_BSRVH2O,,,Aia,Porcentaje,Aia,99.7
2018,SP_ACS_BSRVH2O,,,Aia,Porcentaje,Aia,99.7
2022,SP_ACS_BSRVSAN,,,Aia,Porcentaje,Aia,99.2
2019,SP_ACS_BSRVSAN,,,Aia,Porcentaje,Aia,99.4
2018,SP_ACS_BSRVSAN,,,Aia,Porcentaje,Aia,99.4
2015,SP_ACS_BSRVH2O,,,Aia,Porcentaje,Aia,99.7
2023,SP_ACS_BSRVH2O,,,Aia,Porcentaje,Aia,99.7
2020,SP_ACS_BSRVSAN,,,Aia,Porcentaje,Aia,99.4
2023,SP_ACS_BSRVSAN,,,Aia,Porcentaje,Aia,99.2
2021,SP_ACS_BSRVSAN,,,Aia,Porcentaje,Aia,99.5
2013,SP_ACS_BSRVSAN,,,Aia,Porcentaje,Aia,99.7
2021,SP_ACS_BSRVH2O,,,Aia,Porcentaje,Aia,99.7
2010,SP_ACS_BSRVH2O,,,Aia,Porcentaje,Aia,99.7
2016,SP_ACS_BSRVSAN,,,Aia,Porcentaje,Aia,99.4
2014,SP_ACS_BSRVH2O,,,Aia,Porcentaje,Aia,99.7
