Year,Territorio,Units,Value
2015,Araba/Álava,Euros,67516.1
2016,Araba/Álava,Euros,74272.6
2017,Araba/Álava,Euros,73256.6
2018,Araba/Álava,Euros,73598.7
2019,Araba/Álava,Euros,77321.8
2020,Araba/Álava,Euros,77356.4
2021,Araba/Álava,Euros,89515.3
2015,Gipuzkoa,Euros,66769.2
2016,Gipuzkoa,Euros,63403.8
2017,Gipuzkoa,Euros,66769.6
2018,Gipuzkoa,Euros,66904.3
2019,Gipuzkoa,Euros,67064.9
2020,Gipuzkoa,Euros,61405.2
2021,Gipuzkoa,Euros,65659.9
2015,Bizkaia,Euros,56004.9
2016,Bizkaia,Euros,66772.4
2017,Bizkaia,Euros,68124.3
2018,Bizkaia,Euros,67412.1
2019,Bizkaia,Euros,76134.7
2020,Bizkaia,Euros,77467.6
2021,Bizkaia,Euros,71477.9
2015,,Euros,65128.6
2016,,Euros,67325.4
2017,,Euros,68894.9
2018,,Euros,68872.5
2019,,Euros,71800.9
2020,,Euros,68938.6
2021,,Euros,73395.4
