Year,Value,Units,Series
2012,-1.9,PT,BPGren urte arteko aldakuntza-tasa
2013,-1.7,PT,BPGren urte arteko aldakuntza-tasa
2021,6.0,PT,BPGren urte arteko aldakuntza-tasa
2015,3.0,PT,BPGren urte arteko aldakuntza-tasa
2020,-9.6,PT,BPGren urte arteko aldakuntza-tasa
2018,3.1,PT,BPGren urte arteko aldakuntza-tasa
2016,3.3,PT,BPGren urte arteko aldakuntza-tasa
2014,1.7,PT,BPGren urte arteko aldakuntza-tasa
2010,0.7,PT,BPGren urte arteko aldakuntza-tasa
2017,2.8,PT,BPGren urte arteko aldakuntza-tasa
2019,2.3,PT,BPGren urte arteko aldakuntza-tasa
2022,5.4,PT,BPGren urte arteko aldakuntza-tasa
2011,0.3,PT,BPGren urte arteko aldakuntza-tasa
2018,10.5,PT,Langabezia-tasa
2013,15.1,PT,Langabezia-tasa
2014,16.1,PT,Langabezia-tasa
2021,10.0,PT,Langabezia-tasa
2023,7.8,PT,Langabezia-tasa
2016,13.8,PT,Langabezia-tasa
2015,15.7,PT,Langabezia-tasa
2022,8.6,PT,Langabezia-tasa
2010,9.2,PT,Langabezia-tasa
2017,11.6,PT,Langabezia-tasa
2012,11.8,PT,Langabezia-tasa
2019,9.8,PT,Langabezia-tasa
2020,10.6,PT,Langabezia-tasa
2011,10.8,PT,Langabezia-tasa
2017,2.0,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2011,3.1,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2010,1.7,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2015,-0.3,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2014,0.2,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2023,3.6,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2020,-0.1,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2012,2.3,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2021,3.1,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2018,1.6,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2019,1.0,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2016,0.0,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2013,1.6,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2022,8.0,PT,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa
2014,0.4,PT,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan"
2022,0.5,PT,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan"
2020,0.5,PT,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan"
2016,0.4,PT,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan"
2021,0.5,PT,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan"
2013,0.4,PT,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan"
2017,0.4,PT,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan"
2019,0.5,PT,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan"
2018,0.5,PT,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan"
2015,0.4,PT,"Atzerrira bidalitako bidalketen bolumena, BPGrekiko proportzioan"
2021,14.3,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2020,15.0,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2013,12.8,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2010,7.6,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2014,13.4,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2016,14.0,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2015,13.8,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2017,13.8,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2019,11.8,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2012,11.0,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2011,8.3,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2018,13.1,PT,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan"
2018,0.7,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
2017,1.5,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
2020,-1.0,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
2012,-1.4,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
2021,0.8,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
2010,-2.7,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
2011,-2.6,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
2013,-1.2,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
2019,0.5,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
2014,-1.0,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
2015,-0.6,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
2016,-0.6,PT,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan"
