Year,Value,Units,Series
2014,83.7,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2010,103.5,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2015,82.2,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2018,71.4,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2012,98.2,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2016,78.5,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2023,51.4,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2022,52.2,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2013,89.4,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2021,56.5,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2017,73.8,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2019,68.0,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2020,62.1,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
2011,101.0,Por 100.000,Número de sucursales de bancos comerciales por cada 100.000 adultos 
