Year,Value,Units,Series
2017,2.0,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2013,1.7,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2010,1.3,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2018,1.4,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2011,1.3,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2020,1.8,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2019,1.5,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2015,1.6,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2012,1.2,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2023,1.8,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2021,1.8,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2022,1.9,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2014,1.8,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
2016,1.8,PER_100000_POP,Nahi gabeko intoxikazioei egotzitako heriotza-tasa
