Year,Value,Units,Series
2011,0.2,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2014,0.19,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2017,0.19,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2020,0.18,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2010,0.22,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2022,0.18,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2015,0.19,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2016,0.18,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2021,0.18,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2018,0.18,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2012,0.21,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2019,0.18,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2013,0.2,$CO_2$ kg euroko,CO2 isurketak balio erantsiko unitate bakoitzeko
2010,0.49,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2011,0.45,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2012,0.45,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2013,0.47,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2014,0.47,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2015,0.45,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2016,0.44,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2017,0.43,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2018,0.41,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2019,0.4,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2020,0.4,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2021,0.41,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
2022,0.38,$CO_2$ kg euroko,"Manufaktura-sektorearen CO2 isurketak, manufaktura-sektorearen balio erantsiaren unitateko"
