Year,Value,Units,Series
2015,94.7,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2021,98.1,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2019,97.0,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2018,95.2,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2019,82.7,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2015,79.4,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2021,82.9,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2020,99.4,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2016,95.5,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2017,77.9,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2022,94.9,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2018,80.9,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2016,79.1,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2020,81.5,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2017,96.0,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
2022,84.7,Porcentaje,Tasa de finalización (educación secundaria inferior y educación secundaria superior)
