Year,Value,Units,Series
2020,-1.1,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2012,0.5,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2020,4.5,Porcentaje,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2017,0.8,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2014,-0.9,Porcentaje,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2015,0.6,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2019,1.7,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2016,0.5,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2012,-1.0,Porcentaje,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2008,4.2,Porcentaje,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2018,1.2,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2011,1.7,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2014,0.1,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2022,1.3,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2021,-0.3,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2022,3.2,Porcentaje,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2018,1.6,Porcentaje,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2013,0.0,Porcentaje,Familiako gastuaren hazkunde-tasa per capita
2016,1.0,Porcentaje,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa
