Year,Value,Units,Series
2019,47.1,Porcentaje,Lanak sortutako BPGren proportzioa
2011,50.0,Porcentaje,Lanak sortutako BPGren proportzioa
2016,47.5,Porcentaje,Lanak sortutako BPGren proportzioa
2010,50.2,Porcentaje,Lanak sortutako BPGren proportzioa
2015,47.9,Porcentaje,Lanak sortutako BPGren proportzioa
2021,47.4,Porcentaje,Lanak sortutako BPGren proportzioa
2012,49.2,Porcentaje,Lanak sortutako BPGren proportzioa
2014,48.2,Porcentaje,Lanak sortutako BPGren proportzioa
2020,49.8,Porcentaje,Lanak sortutako BPGren proportzioa
2013,49.0,Porcentaje,Lanak sortutako BPGren proportzioa
2018,46.9,Porcentaje,Lanak sortutako BPGren proportzioa
2017,47.3,Porcentaje,Lanak sortutako BPGren proportzioa
