Year,Value,Units,Series
2022,20.8,EUR,SL_EMP_EARN
2020,19.9,EUR,SL_EMP_EARN
2016,18.2,EUR,SL_EMP_EARN
2010,17.4,EUR,SL_EMP_EARN
2011,17.2,EUR,SL_EMP_EARN
2012,17.4,EUR,SL_EMP_EARN
2014,18.3,EUR,SL_EMP_EARN
2015,18.4,EUR,SL_EMP_EARN
2021,20.4,EUR,SL_EMP_EARN
2017,18.5,EUR,SL_EMP_EARN
2013,17.5,EUR,SL_EMP_EARN
2019,19.5,EUR,SL_EMP_EARN
2018,18.9,EUR,SL_EMP_EARN
2014,15.1,PT,Genero-aldea soldatan
2017,12.8,PT,Genero-aldea soldatan
2019,9.5,PT,Genero-aldea soldatan
2015,12.8,PT,Genero-aldea soldatan
2012,20.1,PT,Genero-aldea soldatan
2021,7.3,PT,Genero-aldea soldatan
2018,11.9,PT,Genero-aldea soldatan
2016,14.3,PT,Genero-aldea soldatan
2011,18.1,PT,Genero-aldea soldatan
2013,19.6,PT,Genero-aldea soldatan
2022,8.8,PT,Genero-aldea soldatan
2010,15.4,PT,Genero-aldea soldatan
2020,8.3,PT,Genero-aldea soldatan
