Year,Value,Units,Series
2011,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2016,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2014,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2017,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2022,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2018,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2010,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2015,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2013,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2020,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2021,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2019,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2023,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
2012,100,Porcentaje,Energia-iturri nagusia erregai eta teknologia garbiak dituen biztanleriaren proportzioa
