Year,Series,Sexo,Units,Value
2020,Proporción de personas de 15 y más años que fuman a diario,,Por 100.000,10.61
2016,Proporción de personas de 15 y más años que fuman a diario,,Por 100.000,12.65
2015,Proporción de personas de 15 y más años que fuman a diario,,Por 100.000,11.78
2013,Proporción de personas de 15 y más años que fuman a diario,,Por 100.000,14.75
2021,Proporción de personas de 15 y más años que fuman a diario,,Por 100.000,8.27
2012,Proporción de personas de 15 y más años que fuman a diario,,Por 100.000,15.82
2019,Proporción de personas de 15 y más años que fuman a diario,,Por 100.000,9.03
2018,Proporción de personas de 15 y más años que fuman a diario,,Por 100.000,9.93
2017,Proporción de personas de 15 y más años que fuman a diario,,Por 100.000,10.47
2014,Proporción de personas de 15 y más años que fuman a diario,,Por 100.000,14.82
2022,Proporción de personas de 15 y más años que fuman a diario,,Por 100.000,10.91
2015,Proporción de personas de 15 y más años que fuman a diario,Mujer,Por 100.000,9.67
2012,Proporción de personas de 15 y más años que fuman a diario,Mujer,Por 100.000,12.53
2017,Proporción de personas de 15 y más años que fuman a diario,Mujer,Por 100.000,8.47
2019,Proporción de personas de 15 y más años que fuman a diario,Mujer,Por 100.000,6.55
2016,Proporción de personas de 15 y más años que fuman a diario,Mujer,Por 100.000,9.57
2021,Proporción de personas de 15 y más años que fuman a diario,Mujer,Por 100.000,6.56
2020,Proporción de personas de 15 y más años que fuman a diario,Mujer,Por 100.000,7.61
2022,Proporción de personas de 15 y más años que fuman a diario,Mujer,Por 100.000,8.68
2013,Proporción de personas de 15 y más años que fuman a diario,Mujer,Por 100.000,12.18
2014,Proporción de personas de 15 y más años que fuman a diario,Mujer,Por 100.000,12.1
2018,Proporción de personas de 15 y más años que fuman a diario,Mujer,Por 100.000,6.94
2018,Proporción de personas de 15 y más años que fuman a diario,Hombre,Por 100.000,13.12
2019,Proporción de personas de 15 y más años que fuman a diario,Hombre,Por 100.000,11.65
2016,Proporción de personas de 15 y más años que fuman a diario,Hombre,Por 100.000,15.91
2014,Proporción de personas de 15 y más años que fuman a diario,Hombre,Por 100.000,17.69
2020,Proporción de personas de 15 y más años que fuman a diario,Hombre,Por 100.000,13.79
2021,Proporción de personas de 15 y más años que fuman a diario,Hombre,Por 100.000,10.07
2012,Proporción de personas de 15 y más años que fuman a diario,Hombre,Por 100.000,19.28
2013,Proporción de personas de 15 y más años que fuman a diario,Hombre,Por 100.000,17.46
2015,Proporción de personas de 15 y más años que fuman a diario,Hombre,Por 100.000,14.01
2022,Proporción de personas de 15 y más años que fuman a diario,Hombre,Por 100.000,13.27
2017,Proporción de personas de 15 y más años que fuman a diario,Hombre,Por 100.000,12.58
