Year,Sexua,Lurralde historikoa,Units,Value
2008,,,Porcentaje,55.4
2014,,,Porcentaje,76.4
2020,,,Porcentaje,91.7
2009,,,Porcentaje,57.7
2022,,,Porcentaje,94.3
2010,,,Porcentaje,58.4
2021,,,Porcentaje,94.0
2015,,,Porcentaje,80.2
2011,,,Porcentaje,63.5
2012,,,Porcentaje,64.3
2016,,,Porcentaje,83.7
2019,,,Porcentaje,89.1
2013,,,Porcentaje,73.8
2017,,,Porcentaje,84.3
2018,,,Porcentaje,87.9
2023,,,Porcentaje,96.3
2016,,Araba / Álava,Porcentaje,83.9
2019,,Araba / Álava,Porcentaje,89.2
2009,,Araba / Álava,Porcentaje,56.2
2017,,Araba / Álava,Porcentaje,86.4
2014,,Araba / Álava,Porcentaje,76.4
2015,,Araba / Álava,Porcentaje,80.9
2023,,Araba / Álava,Porcentaje,96.6
2008,,Araba / Álava,Porcentaje,55.3
2013,,Araba / Álava,Porcentaje,75.4
2020,,Araba / Álava,Porcentaje,91.1
2010,,Araba / Álava,Porcentaje,61.8
2022,,Araba / Álava,Porcentaje,93.7
2018,,Araba / Álava,Porcentaje,90.5
2012,,Araba / Álava,Porcentaje,64.5
2011,,Araba / Álava,Porcentaje,61.2
2021,,Araba / Álava,Porcentaje,94.2
2011,,Bizkaia,Porcentaje,62.6
2010,,Bizkaia,Porcentaje,55.2
2019,,Bizkaia,Porcentaje,89.7
2021,,Bizkaia,Porcentaje,94.0
2017,,Bizkaia,Porcentaje,83.5
2015,,Bizkaia,Porcentaje,80.2
2018,,Bizkaia,Porcentaje,87.5
2013,,Bizkaia,Porcentaje,74.0
2012,,Bizkaia,Porcentaje,62.1
2009,,Bizkaia,Porcentaje,57.8
2008,,Bizkaia,Porcentaje,55.2
2014,,Bizkaia,Porcentaje,77.2
2022,,Bizkaia,Porcentaje,94.5
2023,,Bizkaia,Porcentaje,96.5
2020,,Bizkaia,Porcentaje,91.4
2016,,Bizkaia,Porcentaje,84.0
2014,,Gipuzkoa,Porcentaje,75.1
2010,,Gipuzkoa,Porcentaje,62.3
2012,,Gipuzkoa,Porcentaje,67.7
2015,,Gipuzkoa,Porcentaje,79.8
2011,,Gipuzkoa,Porcentaje,66.0
2023,,Gipuzkoa,Porcentaje,96.0
2009,,Gipuzkoa,Porcentaje,58.2
2018,,Gipuzkoa,Porcentaje,87.4
2022,,Gipuzkoa,Porcentaje,94.4
2019,,Gipuzkoa,Porcentaje,88.2
2017,,Gipuzkoa,Porcentaje,84.5
2008,,Gipuzkoa,Porcentaje,55.7
2013,,Gipuzkoa,Porcentaje,72.8
2020,,Gipuzkoa,Porcentaje,92.5
2021,,Gipuzkoa,Porcentaje,93.8
2016,,Gipuzkoa,Porcentaje,83.0
2009,Emakumea,,Porcentaje,54.9
2010,Emakumea,,Porcentaje,55.7
2013,Emakumea,,Porcentaje,70.2
2016,Emakumea,,Porcentaje,82.7
2017,Emakumea,,Porcentaje,84.0
2015,Emakumea,,Porcentaje,77.3
2021,Emakumea,,Porcentaje,94.6
2008,Emakumea,,Porcentaje,52.4
2023,Emakumea,,Porcentaje,97.0
2011,Emakumea,,Porcentaje,60.5
2018,Emakumea,,Porcentaje,86.6
2012,Emakumea,,Porcentaje,61.1
2022,Emakumea,,Porcentaje,94.8
2014,Emakumea,,Porcentaje,74.4
2020,Emakumea,,Porcentaje,92.1
2019,Emakumea,,Porcentaje,88.6
2021,Emakumea,Araba / Álava,Porcentaje,95.3
2020,Emakumea,Araba / Álava,Porcentaje,92.4
2023,Emakumea,Araba / Álava,Porcentaje,97.6
2018,Emakumea,Araba / Álava,Porcentaje,88.9
2009,Emakumea,Araba / Álava,Porcentaje,54.0
2010,Emakumea,Araba / Álava,Porcentaje,60.8
2013,Emakumea,Araba / Álava,Porcentaje,72.9
2015,Emakumea,Araba / Álava,Porcentaje,77.6
2017,Emakumea,Araba / Álava,Porcentaje,86.9
2014,Emakumea,Araba / Álava,Porcentaje,75.0
2011,Emakumea,Araba / Álava,Porcentaje,60.2
2008,Emakumea,Araba / Álava,Porcentaje,53.1
2016,Emakumea,Araba / Álava,Porcentaje,81.8
2012,Emakumea,Araba / Álava,Porcentaje,62.5
2022,Emakumea,Araba / Álava,Porcentaje,92.5
2019,Emakumea,Araba / Álava,Porcentaje,89.2
2020,Emakumea,Bizkaia,Porcentaje,91.6
2023,Emakumea,Bizkaia,Porcentaje,96.7
2021,Emakumea,Bizkaia,Porcentaje,94.5
2019,Emakumea,Bizkaia,Porcentaje,88.2
2015,Emakumea,Bizkaia,Porcentaje,76.7
2010,Emakumea,Bizkaia,Porcentaje,52.4
2013,Emakumea,Bizkaia,Porcentaje,69.6
2012,Emakumea,Bizkaia,Porcentaje,59.1
2011,Emakumea,Bizkaia,Porcentaje,57.9
2009,Emakumea,Bizkaia,Porcentaje,54.4
2008,Emakumea,Bizkaia,Porcentaje,51.7
2017,Emakumea,Bizkaia,Porcentaje,83.1
2016,Emakumea,Bizkaia,Porcentaje,83.1
2014,Emakumea,Bizkaia,Porcentaje,75.3
2018,Emakumea,Bizkaia,Porcentaje,85.5
2022,Emakumea,Bizkaia,Porcentaje,94.9
2023,Emakumea,Gipuzkoa,Porcentaje,97.2
2020,Emakumea,Gipuzkoa,Porcentaje,92.7
2019,Emakumea,Gipuzkoa,Porcentaje,89.1
2017,Emakumea,Gipuzkoa,Porcentaje,84.3
2016,Emakumea,Gipuzkoa,Porcentaje,82.5
2015,Emakumea,Gipuzkoa,Porcentaje,78.1
2014,Emakumea,Gipuzkoa,Porcentaje,72.7
2013,Emakumea,Gipuzkoa,Porcentaje,70.1
2012,Emakumea,Gipuzkoa,Porcentaje,63.8
2011,Emakumea,Gipuzkoa,Porcentaje,64.9
2010,Emakumea,Gipuzkoa,Porcentaje,59.0
2009,Emakumea,Gipuzkoa,Porcentaje,56.2
2008,Emakumea,Gipuzkoa,Porcentaje,53.4
2022,Emakumea,Gipuzkoa,Porcentaje,95.9
2018,Emakumea,Gipuzkoa,Porcentaje,87.5
2021,Emakumea,Gipuzkoa,Porcentaje,94.4
2019,Gizona,,Porcentaje,89.6
2012,Gizona,,Porcentaje,67.5
2023,Gizona,,Porcentaje,95.7
2020,Gizona,,Porcentaje,91.3
2018,Gizona,,Porcentaje,89.2
2010,Gizona,,Porcentaje,61.2
2017,Gizona,,Porcentaje,84.5
2008,Gizona,,Porcentaje,58.3
2016,Gizona,,Porcentaje,84.6
2009,Gizona,,Porcentaje,60.5
2014,Gizona,,Porcentaje,78.4
2015,Gizona,,Porcentaje,83.1
2011,Gizona,,Porcentaje,66.5
2022,Gizona,,Porcentaje,93.8
2013,Gizona,,Porcentaje,77.4
2021,Gizona,,Porcentaje,93.4
2022,Gizona,Araba / Álava,Porcentaje,95.0
2014,Gizona,Araba / Álava,Porcentaje,77.8
2021,Gizona,Araba / Álava,Porcentaje,93.0
2023,Gizona,Araba / Álava,Porcentaje,95.5
2010,Gizona,Araba / Álava,Porcentaje,62.9
2013,Gizona,Araba / Álava,Porcentaje,77.9
2009,Gizona,Araba / Álava,Porcentaje,58.4
2017,Gizona,Araba / Álava,Porcentaje,85.9
2012,Gizona,Araba / Álava,Porcentaje,66.5
2016,Gizona,Araba / Álava,Porcentaje,86.0
2008,Gizona,Araba / Álava,Porcentaje,57.5
2018,Gizona,Araba / Álava,Porcentaje,92.2
2011,Gizona,Araba / Álava,Porcentaje,62.1
2019,Gizona,Araba / Álava,Porcentaje,89.2
2015,Gizona,Araba / Álava,Porcentaje,84.2
2020,Gizona,Araba / Álava,Porcentaje,89.8
2023,Gizona,Bizkaia,Porcentaje,96.3
2022,Gizona,Bizkaia,Porcentaje,94.1
2021,Gizona,Bizkaia,Porcentaje,93.6
2020,Gizona,Bizkaia,Porcentaje,91.2
