Year,Series,Units,Value
2014,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera,Hektareak,78025.0
2018,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera,Hektareak,92935.0
2011,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera,Hektareak,70847.0
2012,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera,Hektareak,70847.0
2019,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera,Hektareak,95091.0
2020,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera,Hektareak,98696.0
2016,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera,Hektareak,85839.0
2013,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera,Hektareak,71709.0
2017,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera,Hektareak,91153.0
2015,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera,Hektareak,78208.0
2021,Kudeaketa iraunkorreko indarreko tresnak dituen baso-azalera,Hektareak,101165.0
2011,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa,Porcentaje,14.28
2014,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa,Porcentaje,15.87
2021,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa,Porcentaje,20.7
2018,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa,Porcentaje,18.9
2019,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa,Porcentaje,19.34
2012,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa,Porcentaje,14.41
2015,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa,Porcentaje,15.9
2016,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa,Porcentaje,17.45
2020,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa,Porcentaje,20.07
2017,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa,Porcentaje,18.54
2013,Kudeaketa iraunkorreko indarreko tresnak dituzten baso-azaleren proportzioa,Porcentaje,14.58
