Year,Sexua,Units,Value
2021,,PER_100000,0.6
2020,,PER_100000,0.4
2010,,PER_100000,1.6
2019,,PER_100000,0.2
2015,,PER_100000,0.7
2016,,PER_100000,0.5
2012,,PER_100000,0.9
2017,,PER_100000,0.9
2011,,PER_100000,1.1
2018,,PER_100000,0.6
2023,,PER_100000,0.1
2014,,PER_100000,1.1
2013,,PER_100000,1.1
2022,,PER_100000,0.5
2010,Emakumea,PER_100000,0.5
2011,Emakumea,PER_100000,0.2
2013,Emakumea,PER_100000,0.4
2014,Emakumea,PER_100000,0.4
2022,Emakumea,PER_100000,0.2
2015,Emakumea,PER_100000,0.3
2016,Emakumea,PER_100000,0.3
2018,Emakumea,PER_100000,0.3
2012,Emakumea,PER_100000,0.4
2019,Emakumea,PER_100000,0.2
2020,Emakumea,PER_100000,0.2
2021,Emakumea,PER_100000,0.1
2017,Emakumea,PER_100000,0.2
2023,Emakumea,PER_100000,0.0
2022,Gizona,PER_100000,0.9
2023,Gizona,PER_100000,0.2
2016,Gizona,PER_100000,0.7
2017,Gizona,PER_100000,1.7
2013,Gizona,PER_100000,1.7
2011,Gizona,PER_100000,2.0
2010,Gizona,PER_100000,2.8
2018,Gizona,PER_100000,1.0
2019,Gizona,PER_100000,0.3
2014,Gizona,PER_100000,1.9
2020,Gizona,PER_100000,0.7
2021,Gizona,PER_100000,1.1
2015,Gizona,PER_100000,1.1
2012,Gizona,PER_100000,1.4
