Year,Series,Units,Value
2000,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,Porcentaje,3.5
2004,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,Porcentaje,5.2
2008,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,Porcentaje,5.7
2012,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,Porcentaje,7.7
2014,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,Porcentaje,7.5
2016,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,Porcentaje,6.7
2018,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,Porcentaje,3.9
2020,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,Porcentaje,3.7
2022,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,Porcentaje,3.0
2000,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,Porcentaje,1.1
2004,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,Porcentaje,2.7
2008,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,Porcentaje,2.1
2012,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,Porcentaje,3.1
2014,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,Porcentaje,2.9
2016,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,Porcentaje,3.1
2018,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,Porcentaje,1.8
2020,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,Porcentaje,1.9
2022,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,Porcentaje,1.1
