Year,Sexua,Lurralde historikoa,Units,Value
2018,,,PT,13.0
2023,,,PT,12.9
2012,,,PT,12.8
2013,,,PT,9.3
2020,,,PT,12.1
2019,,,PT,12.7
2014,,,PT,7.8
2015,,,PT,9.4
2022,,,PT,11.2
2016,,,PT,10.2
2017,,,PT,10.2
2021,,,PT,10.4
2018,,Araba / Álava,PT,8.6
2023,,Araba / Álava,PT,9.5
2016,,Araba / Álava,PT,6.1
2021,,Araba / Álava,PT,7.9
2017,,Araba / Álava,PT,6.0
2014,,Araba / Álava,PT,5.5
2012,,Araba / Álava,PT,9.4
2013,,Araba / Álava,PT,6.6
2020,,Araba / Álava,PT,8.1
2015,,Araba / Álava,PT,5.5
2022,,Araba / Álava,PT,7.7
2019,,Araba / Álava,PT,9.1
2021,,Bizkaia,PT,13.2
2023,,Bizkaia,PT,15.8
2022,,Bizkaia,PT,15.5
2016,,Bizkaia,PT,15.0
2017,,Bizkaia,PT,12.7
2014,,Bizkaia,PT,11.4
2019,,Bizkaia,PT,18.1
2015,,Bizkaia,PT,14.5
2012,,Bizkaia,PT,17.4
2018,,Bizkaia,PT,16.2
2020,,Bizkaia,PT,13.3
2013,,Bizkaia,PT,13.6
2023,,Gipuzkoa,PT,17.7
2016,,Gipuzkoa,PT,16.7
2021,,Gipuzkoa,PT,13.9
2022,,Gipuzkoa,PT,15.4
2015,,Gipuzkoa,PT,13.9
2014,,Gipuzkoa,PT,9.2
2020,,Gipuzkoa,PT,21.3
2013,,Gipuzkoa,PT,10.5
2018,,Gipuzkoa,PT,20.2
2012,,Gipuzkoa,PT,15.4
2019,,Gipuzkoa,PT,16.5
2017,,Gipuzkoa,PT,17.7
2019,Emakumea,,PT,9.3
2013,Emakumea,,PT,9.8
2023,Emakumea,,PT,6.7
2015,Emakumea,,PT,3.0
2014,Emakumea,,PT,4.4
2016,Emakumea,,PT,6.5
2022,Emakumea,,PT,8.1
2012,Emakumea,,PT,7.6
2018,Emakumea,,PT,8.9
2020,Emakumea,,PT,6.0
2017,Emakumea,,PT,7.5
2021,Emakumea,,PT,7.0
2012,Emakumea,Araba / Álava,PT,6.7
2016,Emakumea,Araba / Álava,PT,6.6
2013,Emakumea,Araba / Álava,PT,9.7
2022,Emakumea,Araba / Álava,PT,6.3
2021,Emakumea,Araba / Álava,PT,5.4
2020,Emakumea,Araba / Álava,PT,6.9
2018,Emakumea,Araba / Álava,PT,9.5
2017,Emakumea,Araba / Álava,PT,5.4
2014,Emakumea,Araba / Álava,PT,6.3
2023,Emakumea,Araba / Álava,PT,6.5
2015,Emakumea,Araba / Álava,PT,4.2
2019,Emakumea,Araba / Álava,PT,10.2
2014,Emakumea,Bizkaia,PT,0.0
2013,Emakumea,Bizkaia,PT,0.0
2012,Emakumea,Bizkaia,PT,0.0
2015,Emakumea,Bizkaia,PT,0.0
2023,Emakumea,Bizkaia,PT,0.0
2019,Emakumea,Bizkaia,PT,0.0
2021,Emakumea,Bizkaia,PT,0.0
2022,Emakumea,Bizkaia,PT,0.0
2020,Emakumea,Bizkaia,PT,0.0
2018,Emakumea,Bizkaia,PT,0.0
2017,Emakumea,Bizkaia,PT,0.0
2016,Emakumea,Bizkaia,PT,0.0
2023,Emakumea,Gipuzkoa,PT,12.5
2022,Emakumea,Gipuzkoa,PT,16.7
2020,Emakumea,Gipuzkoa,PT,9.5
2019,Emakumea,Gipuzkoa,PT,12.5
2018,Emakumea,Gipuzkoa,PT,11.1
2021,Emakumea,Gipuzkoa,PT,13.8
2017,Emakumea,Gipuzkoa,PT,17.2
2016,Emakumea,Gipuzkoa,PT,10.5
2015,Emakumea,Gipuzkoa,PT,0.0
2013,Emakumea,Gipuzkoa,PT,13.9
2012,Emakumea,Gipuzkoa,PT,13.8
2014,Emakumea,Gipuzkoa,PT,0.0
2012,Gizona,,PT,13.3
2017,Gizona,,PT,10.5
2022,Gizona,,PT,11.5
2016,Gizona,,PT,10.6
2015,Gizona,,PT,10.1
2013,Gizona,,PT,9.2
2019,Gizona,,PT,13.1
2023,Gizona,,PT,13.5
2014,Gizona,,PT,8.3
2021,Gizona,,PT,10.7
2020,Gizona,,PT,12.8
2018,Gizona,,PT,13.4
2013,Gizona,Araba / Álava,PT,6.0
2018,Gizona,Araba / Álava,PT,8.4
2023,Gizona,Araba / Álava,PT,9.8
2021,Gizona,Araba / Álava,PT,8.1
2014,Gizona,Araba / Álava,PT,5.3
