Year,Series,Sexo,Tipo de renta,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,Renta personal media,,Renta total,,,,Euros,,19968.0
2013,Renta personal media,,Renta total,,,,Euros,,19319.0
2009,Renta personal media,,Renta total,,,,Euros,,19631.0
2016,Renta personal media,,Renta total,,,,Euros,,20295.0
2020,Renta personal media,,Renta total,,,,Euros,,22343.0
2018,Renta personal media,,Renta total,,,,Euros,,21458.0
2014,Renta personal media,,Renta total,,,,Euros,,19379.0
2019,Renta personal media,,Renta total,,,,Euros,,22548.0
2017,Renta personal media,,Renta total,,,,Euros,,21083.0
2021,Renta personal media,,Renta total,,,,Euros,,23313.0
2011,Renta personal media,,Renta total,,,,Euros,,19715.0
2015,Renta personal media,,Renta total,,,Abadiño,Euros,Abadiño,20364.0
2020,Renta personal media,,Renta total,,,Abadiño,Euros,Abadiño,23350.0
2016,Renta personal media,,Renta total,,,Abadiño,Euros,Abadiño,20907.0
2011,Renta personal media,,Renta total,,,Abadiño,Euros,Abadiño,19440.0
2018,Renta personal media,,Renta total,,,Abadiño,Euros,Abadiño,21468.0
2009,Renta personal media,,Renta total,,,Abadiño,Euros,Abadiño,19111.0
2014,Renta personal media,,Renta total,,,Abadiño,Euros,Abadiño,19690.0
2017,Renta personal media,,Renta total,,,Abadiño,Euros,Abadiño,21429.0
2021,Renta personal media,,Renta total,,,Abadiño,Euros,Abadiño,22782.0
2013,Renta personal media,,Renta total,,,Abadiño,Euros,Abadiño,19133.0
2019,Renta personal media,,Renta total,,,Abadiño,Euros,Abadiño,22558.0
2018,Renta personal media,,Renta total,,,Abaltzisketa,Euros,Abaltzisketa,24382.0
2020,Renta personal media,,Renta total,,,Abaltzisketa,Euros,Abaltzisketa,31985.0
2009,Renta personal media,,Renta total,,,Abaltzisketa,Euros,Abaltzisketa,20451.0
2011,Renta personal media,,Renta total,,,Abaltzisketa,Euros,Abaltzisketa,23782.0
2019,Renta personal media,,Renta total,,,Abaltzisketa,Euros,Abaltzisketa,25290.0
2013,Renta personal media,,Renta total,,,Abaltzisketa,Euros,Abaltzisketa,21723.0
2021,Renta personal media,,Renta total,,,Abaltzisketa,Euros,Abaltzisketa,25319.0
2015,Renta personal media,,Renta total,,,Abaltzisketa,Euros,Abaltzisketa,19835.0
2016,Renta personal media,,Renta total,,,Abaltzisketa,Euros,Abaltzisketa,20460.0
2014,Renta personal media,,Renta total,,,Abaltzisketa,Euros,Abaltzisketa,21637.0
2017,Renta personal media,,Renta total,,,Abaltzisketa,Euros,Abaltzisketa,34346.0
2020,Renta personal media,,Renta total,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,19493.0
2016,Renta personal media,,Renta total,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,17514.0
2014,Renta personal media,,Renta total,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,16727.0
2011,Renta personal media,,Renta total,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,16916.0
2021,Renta personal media,,Renta total,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,20371.0
2018,Renta personal media,,Renta total,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,18586.0
2019,Renta personal media,,Renta total,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,19637.0
2017,Renta personal media,,Renta total,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,17978.0
2015,Renta personal media,,Renta total,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,17186.0
2009,Renta personal media,,Renta total,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,17109.0
2013,Renta personal media,,Renta total,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,16599.0
2013,Renta personal media,,Renta total,,,Aduna,Euros,Aduna,20580.0
2015,Renta personal media,,Renta total,,,Aduna,Euros,Aduna,22596.0
2018,Renta personal media,,Renta total,,,Aduna,Euros,Aduna,25744.0
2019,Renta personal media,,Renta total,,,Aduna,Euros,Aduna,27058.0
2020,Renta personal media,,Renta total,,,Aduna,Euros,Aduna,25526.0
2014,Renta personal media,,Renta total,,,Aduna,Euros,Aduna,21538.0
2011,Renta personal media,,Renta total,,,Aduna,Euros,Aduna,21585.0
2016,Renta personal media,,Renta total,,,Aduna,Euros,Aduna,22624.0
2009,Renta personal media,,Renta total,,,Aduna,Euros,Aduna,21279.0
2017,Renta personal media,,Renta total,,,Aduna,Euros,Aduna,26051.0
2021,Renta personal media,,Renta total,,,Aduna,Euros,Aduna,25457.0
2015,Renta personal media,,Renta total,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,17508.0
2017,Renta personal media,,Renta total,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,18324.0
2019,Renta personal media,,Renta total,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,19354.0
2018,Renta personal media,,Renta total,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,18355.0
2016,Renta personal media,,Renta total,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,17689.0
2014,Renta personal media,,Renta total,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,16969.0
2011,Renta personal media,,Renta total,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,17966.0
2009,Renta personal media,,Renta total,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,17519.0
2021,Renta personal media,,Renta total,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,19701.0
2013,Renta personal media,,Renta total,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,16969.0
2020,Renta personal media,,Renta total,,,Agurain/Salvatierra,Euros,Agurain/Salvatierra,19590.0
2015,Renta personal media,,Renta total,,,Aia,Euros,Aia,18886.0
2014,Renta personal media,,Renta total,,,Aia,Euros,Aia,18209.0
2011,Renta personal media,,Renta total,,,Aia,Euros,Aia,18226.0
2020,Renta personal media,,Renta total,,,Aia,Euros,Aia,22314.0
2018,Renta personal media,,Renta total,,,Aia,Euros,Aia,20524.0
2019,Renta personal media,,Renta total,,,Aia,Euros,Aia,21367.0
2017,Renta personal media,,Renta total,,,Aia,Euros,Aia,20387.0
2016,Renta personal media,,Renta total,,,Aia,Euros,Aia,19844.0
2009,Renta personal media,,Renta total,,,Aia,Euros,Aia,17876.0
2013,Renta personal media,,Renta total,,,Aia,Euros,Aia,18293.0
2021,Renta personal media,,Renta total,,,Aia,Euros,Aia,22975.0
2009,Renta personal media,,Renta total,,,Aizarnazabal,Euros,Aizarnazabal,20093.0
2013,Renta personal media,,Renta total,,,Aizarnazabal,Euros,Aizarnazabal,17216.0
2011,Renta personal media,,Renta total,,,Aizarnazabal,Euros,Aizarnazabal,18723.0
2017,Renta personal media,,Renta total,,,Aizarnazabal,Euros,Aizarnazabal,21021.0
2016,Renta personal media,,Renta total,,,Aizarnazabal,Euros,Aizarnazabal,20430.0
2015,Renta personal media,,Renta total,,,Aizarnazabal,Euros,Aizarnazabal,19607.0
2014,Renta personal media,,Renta total,,,Aizarnazabal,Euros,Aizarnazabal,17957.0
2019,Renta personal media,,Renta total,,,Aizarnazabal,Euros,Aizarnazabal,22932.0
2018,Renta personal media,,Renta total,,,Aizarnazabal,Euros,Aizarnazabal,21318.0
2021,Renta personal media,,Renta total,,,Aizarnazabal,Euros,Aizarnazabal,22777.0
2020,Renta personal media,,Renta total,,,Aizarnazabal,Euros,Aizarnazabal,22277.0
2021,Renta personal media,,Renta total,,,Ajangiz,Euros,Ajangiz,24883.0
2015,Renta personal media,,Renta total,,,Ajangiz,Euros,Ajangiz,23299.0
2011,Renta personal media,,Renta total,,,Ajangiz,Euros,Ajangiz,22278.0
2009,Renta personal media,,Renta total,,,Ajangiz,Euros,Ajangiz,20486.0
2017,Renta personal media,,Renta total,,,Ajangiz,Euros,Ajangiz,25075.0
2018,Renta personal media,,Renta total,,,Ajangiz,Euros,Ajangiz,25017.0
2019,Renta personal media,,Renta total,,,Ajangiz,Euros,Ajangiz,25837.0
2016,Renta personal media,,Renta total,,,Ajangiz,Euros,Ajangiz,23604.0
2013,Renta personal media,,Renta total,,,Ajangiz,Euros,Ajangiz,22470.0
2020,Renta personal media,,Renta total,,,Ajangiz,Euros,Ajangiz,23857.0
2014,Renta personal media,,Renta total,,,Ajangiz,Euros,Ajangiz,22358.0
2016,Renta personal media,,Renta total,,,Albiztur,Euros,Albiztur,23047.0
2009,Renta personal media,,Renta total,,,Albiztur,Euros,Albiztur,21531.0
2018,Renta personal media,,Renta total,,,Albiztur,Euros,Albiztur,24053.0
2015,Renta personal media,,Renta total,,,Albiztur,Euros,Albiztur,21543.0
2019,Renta personal media,,Renta total,,,Albiztur,Euros,Albiztur,26754.0
2017,Renta personal media,,Renta total,,,Albiztur,Euros,Albiztur,24887.0
2011,Renta personal media,,Renta total,,,Albiztur,Euros,Albiztur,21837.0
2021,Renta personal media,,Renta total,,,Albiztur,Euros,Albiztur,25471.0
2013,Renta personal media,,Renta total,,,Albiztur,Euros,Albiztur,21670.0
2020,Renta personal media,,Renta total,,,Albiztur,Euros,Albiztur,24548.0
2014,Renta personal media,,Renta total,,,Albiztur,Euros,Albiztur,22338.0
2019,Renta personal media,,Renta total,,,Alegia,Euros,Alegia,20191.0
2009,Renta personal media,,Renta total,,,Alegia,Euros,Alegia,17408.0
2018,Renta personal media,,Renta total,,,Alegia,Euros,Alegia,20021.0
2014,Renta personal media,,Renta total,,,Alegia,Euros,Alegia,17586.0
2020,Renta personal media,,Renta total,,,Alegia,Euros,Alegia,21086.0
2021,Renta personal media,,Renta total,,,Alegia,Euros,Alegia,21456.0
2011,Renta personal media,,Renta total,,,Alegia,Euros,Alegia,18185.0
2013,Renta personal media,,Renta total,,,Alegia,Euros,Alegia,17846.0
2016,Renta personal media,,Renta total,,,Alegia,Euros,Alegia,18664.0
2015,Renta personal media,,Renta total,,,Alegia,Euros,Alegia,18532.0
2017,Renta personal media,,Renta total,,,Alegia,Euros,Alegia,19936.0
2013,Renta personal media,,Renta total,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,19743.0
2019,Renta personal media,,Renta total,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,22064.0
2017,Renta personal media,,Renta total,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,21043.0
2015,Renta personal media,,Renta total,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,20537.0
2014,Renta personal media,,Renta total,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,20228.0
2021,Renta personal media,,Renta total,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,22275.0
2016,Renta personal media,,Renta total,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,20843.0
2020,Renta personal media,,Renta total,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,21459.0
2018,Renta personal media,,Renta total,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,21047.0
2011,Renta personal media,,Renta total,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,20976.0
2009,Renta personal media,,Renta total,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,20837.0
2020,Renta personal media,,Renta total,,,Alkiza,Euros,Alkiza,23107.0
2011,Renta personal media,,Renta total,,,Alkiza,Euros,Alkiza,19064.0
2021,Renta personal media,,Renta total,,,Alkiza,Euros,Alkiza,23176.0
2017,Renta personal media,,Renta total,,,Alkiza,Euros,Alkiza,21764.0
2016,Renta personal media,,Renta total,,,Alkiza,Euros,Alkiza,21566.0
2009,Renta personal media,,Renta total,,,Alkiza,Euros,Alkiza,19380.0
2018,Renta personal media,,Renta total,,,Alkiza,Euros,Alkiza,22476.0
2013,Renta personal media,,Renta total,,,Alkiza,Euros,Alkiza,20020.0
2015,Renta personal media,,Renta total,,,Alkiza,Euros,Alkiza,21694.0
2014,Renta personal media,,Renta total,,,Alkiza,Euros,Alkiza,20277.0
2019,Renta personal media,,Renta total,,,Alkiza,Euros,Alkiza,23665.0
2016,Renta personal media,,Renta total,,,Alonsotegi,Euros,Alonsotegi,16746.0
2009,Renta personal media,,Renta total,,,Alonsotegi,Euros,Alonsotegi,16368.0
