Year,Series,Adina,Sexua,Kontratu mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2020,Okupazio-tasa,16 urte eta gehiago,,,,,,PT,,50.8
2010,Okupazio-tasa,16 urte eta gehiago,,,,,,PT,,50.1
2019,Okupazio-tasa,16 urte eta gehiago,,,,,,PT,,50.6
2022,Okupazio-tasa,16 urte eta gehiago,,,,,,PT,,51.3
2015,Okupazio-tasa,16 urte eta gehiago,,,,,,PT,,48.7
2016,Okupazio-tasa,16 urte eta gehiago,,,,,,PT,,48.5
2021,Okupazio-tasa,16 urte eta gehiago,,,,,,PT,,49.7
2018,Okupazio-tasa,16 urte eta gehiago,,,,,,PT,,50.1
2023,Okupazio-tasa,16 urte eta gehiago,,,,,,PT,,52.2
2020,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,PT,Abadiño,54.2
2019,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,PT,Abadiño,54.4
2016,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,PT,Abadiño,53.9
2018,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,PT,Abadiño,54.4
2010,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,PT,Abadiño,53.6
2015,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,PT,Abadiño,53.5
2021,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,PT,Abadiño,52.8
2022,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,PT,Abadiño,54.0
2023,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,PT,Abadiño,54.9
2015,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,PT,Abaltzisketa,56.0
2022,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,PT,Abaltzisketa,61.7
2010,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,PT,Abaltzisketa,58.3
2016,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,PT,Abaltzisketa,54.2
2019,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,PT,Abaltzisketa,58.2
2023,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,PT,Abaltzisketa,58.9
2021,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,PT,Abaltzisketa,60.8
2020,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,PT,Abaltzisketa,63.0
2018,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,PT,Abaltzisketa,55.4
2016,Okupazio-tasa,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,49.2
2018,Okupazio-tasa,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,PT,Abanto y Ciérvana-Abanto Zierbena,50.7
