Year,Series,Sexua,Lurralde historikoa,Units,Value
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,2.0
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.7
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.3
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.4
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.3
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.8
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.5
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.6
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.2
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.8
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.8
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.9
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.8
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,,PER_100000_POP,1.8
2015,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,1.9
2012,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,0.6
2022,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,1.8
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,1.5
2011,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,0.6
2014,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,2.2
2023,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,2.1
2016,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,0.9
2013,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,0.9
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,2.4
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,0.9
2020,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,2.7
2019,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,1.5
2017,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Araba / Álava,PER_100000_POP,1.8
2018,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,1.4
2010,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,1.9
2021,Nahi gabeko intoxikazioei egotzitako heriotza-tasa,,Bizkaia,PER_100000_POP,1.8
