Year,Series,Units,Value
2014,EU_WWT_COLECT,PT,100.0
2018,EU_WWT_COLECT,PT,100.0
2018,Modu egokian tratatutako etxeko hondakin-uren fluxuen proportzioa,PT,80.0
2012,EU_WWT_COLECT,PT,100.0
2020,EU_WWT_COLECT,PT,100.0
2012,Modu egokian tratatutako etxeko hondakin-uren fluxuen proportzioa,PT,74.0
2016,EU_WWT_COLECT,PT,100.0
2016,Modu egokian tratatutako etxeko hondakin-uren fluxuen proportzioa,PT,76.3
2022,Modu egokian tratatutako etxeko hondakin-uren fluxuen proportzioa,PT,79.4
2020,Modu egokian tratatutako etxeko hondakin-uren fluxuen proportzioa,PT,80.8
2014,Modu egokian tratatutako etxeko hondakin-uren fluxuen proportzioa,PT,77.5
2022,EU_WWT_COLECT,PT,99.9
