Year,Series,Lurralde historikoa,Units,Value
2015,Birziklatutako hiri-hondakinen proportzioa,,Porcentaje,36.4
2016,Birziklatutako hiri-hondakinen proportzioa,,Porcentaje,38.0
2019,Birziklatutako hiri-hondakinen proportzioa,,Porcentaje,44.7
2013,Birziklatutako hiri-hondakinen proportzioa,,Porcentaje,28.2
2018,Birziklatutako hiri-hondakinen proportzioa,,Porcentaje,41.5
2010,Birziklatutako hiri-hondakinen proportzioa,,Porcentaje,24.7
2020,Birziklatutako hiri-hondakinen proportzioa,,Porcentaje,47.2
2011,Birziklatutako hiri-hondakinen proportzioa,,Porcentaje,25.6
2014,Birziklatutako hiri-hondakinen proportzioa,,Porcentaje,33.3
2017,Birziklatutako hiri-hondakinen proportzioa,,Porcentaje,39.3
2012,Birziklatutako hiri-hondakinen proportzioa,,Porcentaje,28.5
2014,Birziklatutako hiri-hondakinen proportzioa,Araba / Álava,Porcentaje,27.0
2013,Birziklatutako hiri-hondakinen proportzioa,Araba / Álava,Porcentaje,24.2
2020,Birziklatutako hiri-hondakinen proportzioa,Araba / Álava,Porcentaje,39.2
2017,Birziklatutako hiri-hondakinen proportzioa,Araba / Álava,Porcentaje,31.3
2016,Birziklatutako hiri-hondakinen proportzioa,Araba / Álava,Porcentaje,33.7
2018,Birziklatutako hiri-hondakinen proportzioa,Araba / Álava,Porcentaje,31.5
2019,Birziklatutako hiri-hondakinen proportzioa,Araba / Álava,Porcentaje,38.4
2015,Birziklatutako hiri-hondakinen proportzioa,Araba / Álava,Porcentaje,30.6
2013,Birziklatutako hiri-hondakinen proportzioa,Bizkaia,Porcentaje,26.6
2015,Birziklatutako hiri-hondakinen proportzioa,Bizkaia,Porcentaje,28.7
2018,Birziklatutako hiri-hondakinen proportzioa,Bizkaia,Porcentaje,35.8
2014,Birziklatutako hiri-hondakinen proportzioa,Bizkaia,Porcentaje,28.2
2017,Birziklatutako hiri-hondakinen proportzioa,Bizkaia,Porcentaje,34.8
2019,Birziklatutako hiri-hondakinen proportzioa,Bizkaia,Porcentaje,37.9
2016,Birziklatutako hiri-hondakinen proportzioa,Bizkaia,Porcentaje,31.2
2020,Birziklatutako hiri-hondakinen proportzioa,Bizkaia,Porcentaje,38.1
2020,Birziklatutako hiri-hondakinen proportzioa,Gipuzkoa,Porcentaje,69.3
2015,Birziklatutako hiri-hondakinen proportzioa,Gipuzkoa,Porcentaje,48.3
2017,Birziklatutako hiri-hondakinen proportzioa,Gipuzkoa,Porcentaje,48.7
2018,Birziklatutako hiri-hondakinen proportzioa,Gipuzkoa,Porcentaje,52.9
2019,Birziklatutako hiri-hondakinen proportzioa,Gipuzkoa,Porcentaje,59.3
2014,Birziklatutako hiri-hondakinen proportzioa,Gipuzkoa,Porcentaje,41.9
2013,Birziklatutako hiri-hondakinen proportzioa,Gipuzkoa,Porcentaje,31.9
2016,Birziklatutako hiri-hondakinen proportzioa,Gipuzkoa,Porcentaje,48.4
