Year,Series,Lurralde historikoa,Units,Value
2012,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,5399.2
2014,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,5536.2
2022,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,6949.4
2011,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,5180.9
2010,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,5098.1
2013,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,5496.2
2017,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,5788.4
2021,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,6560.5
2020,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,6204.9
2016,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,5481.3
2015,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,5564.5
2018,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,6027.3
2019,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,,PER_1000000_POP,6162.8
2012,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,4148.7
2018,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,5238.7
2021,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,4891.1
2015,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,4818.1
2014,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,4613.2
2013,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,4682.2
2017,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,5233.3
2020,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,4863.1
2022,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,5091.9
2010,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,3631.3
2011,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,3879.2
2016,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,4651.0
2019,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,PER_1000000_POP,4782.0
2016,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,4889.7
2022,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,6287.9
2010,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,4751.5
2013,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,5116.9
2019,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,5507.4
2017,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,4989.5
2015,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,5109.1
2014,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,5167.9
2018,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,5230.3
2021,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,5837.9
2020,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,5535.1
2012,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,PER_1000000_POP,5045.7
