Year,Series,Units,Value
2011,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.2
2014,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.19
2017,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.19
2020,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.18
2010,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.22
2022,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.18
2015,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.19
2016,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.18
2021,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.18
2018,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.18
2012,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.21
2019,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.18
2013,$CO_2$ isuriak balio erantsiko unitate bakoitzeko,Kg CO2 baliokide BPGd-ko,0.2
2010,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.49
2011,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.45
2012,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.45
2013,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.47
2014,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.47
2015,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.45
2016,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.44
2017,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.43
2018,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.41
2019,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.4
2020,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.4
2021,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.41
2022,"Manufaktura-sektorearen $CO_2$ isuriak, manufaktura-sektorearen balio erantsiaren unitateko",Kg CO2 baliokide BPGd-ko,0.38
