Year,Series,Units,Value
2011,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,67.21
2014,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,49.62
2017,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,65.96
2020,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,65.98
2010,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,70.73
2022,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,78.48
2015,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,49.43
2016,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,52.35
2021,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,73.9
2018,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,60.66
2012,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,61.89
2019,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,63.9
2013,Administrazio publiko autonomikoen eta tokikoen garapen garbirako laguntza ofiziala,Milioi eurotan,40.98
2010,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.11
2011,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.1
2012,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.09
2013,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.06
2014,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.07
2015,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.07
2016,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.07
2017,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.09
2018,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.08
2019,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.08
2020,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.09
2021,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.09
2022,"Administrazio publiko autonomikoen eta tokikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",PT,0.09
