Year,Series,Units,Value
2017,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,363.0
2020,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,424.0
2016,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,333.6
2014,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,319.8
2012,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,527.1
2021,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,405.3
2018,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,358.1
2010,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,94.6
2013,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,321.7
2011,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,399.9
2019,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,408.7
2015,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,EUR_1000000,341.3
2010,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,0.9
2011,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,4.0
2012,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,5.2
2013,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,3.4
2015,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,3.4
2016,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,3.2
2020,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,3.6
2014,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,3.2
2017,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,3.4
2018,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,3.1
2019,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,3.4
2021,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",PT,3.2
