Year,Series,Units,Value
2000,Proporción de personas que vive en una vivienda con problemas de humedad,Porcentaje,8.9
2004,Proporción de personas que vive en una vivienda con problemas de humedad,Porcentaje,9.6
2008,Proporción de personas que vive en una vivienda con problemas de humedad,Porcentaje,7.7
2012,Proporción de personas que vive en una vivienda con problemas de humedad,Porcentaje,8.8
2014,Proporción de personas que vive en una vivienda con problemas de humedad,Porcentaje,11.8
2016,Proporción de personas que vive en una vivienda con problemas de humedad,Porcentaje,12.3
2018,Proporción de personas que vive en una vivienda con problemas de humedad,Porcentaje,14.2
2020,Proporción de personas que vive en una vivienda con problemas de humedad,Porcentaje,10.5
2022,Proporción de personas que vive en una vivienda con problemas de humedad,Porcentaje,12.4
2000,Proporción de personas que vive en una vivienda sin retrete o bañera/ducha,Porcentaje,0.3
2004,Proporción de personas que vive en una vivienda sin retrete o bañera/ducha,Porcentaje,0.9
2008,Proporción de personas que vive en una vivienda sin retrete o bañera/ducha,Porcentaje,0.4
2012,Proporción de personas que vive en una vivienda sin retrete o bañera/ducha,Porcentaje,0.0
2014,Proporción de personas que vive en una vivienda sin retrete o bañera/ducha,Porcentaje,0.0
2016,Proporción de personas que vive en una vivienda sin retrete o bañera/ducha,Porcentaje,0.0
2018,Proporción de personas que vive en una vivienda sin retrete o bañera/ducha,Porcentaje,0.0
2020,Proporción de personas que vive en una vivienda sin retrete o bañera/ducha,Porcentaje,0.0
2022,Proporción de personas que vive en una vivienda sin retrete o bañera/ducha,Porcentaje,0.0
2000,Proporción de personas que vive en una vivienda con una superficie menor a 20 metros cuadrados por persona,Porcentaje,28.5
2004,Proporción de personas que vive en una vivienda con una superficie menor a 20 metros cuadrados por persona,Porcentaje,21.3
2008,Proporción de personas que vive en una vivienda con una superficie menor a 20 metros cuadrados por persona,Porcentaje,15.0
2012,Proporción de personas que vive en una vivienda con una superficie menor a 20 metros cuadrados por persona,Porcentaje,14.9
2014,Proporción de personas que vive en una vivienda con una superficie menor a 20 metros cuadrados por persona,Porcentaje,13.3
2016,Proporción de personas que vive en una vivienda con una superficie menor a 20 metros cuadrados por persona,Porcentaje,12.7
2018,Proporción de personas que vive en una vivienda con una superficie menor a 20 metros cuadrados por persona,Porcentaje,13.1
2020,Proporción de personas que vive en una vivienda con una superficie menor a 20 metros cuadrados por persona,Porcentaje,16.4
2022,Proporción de personas que vive en una vivienda con una superficie menor a 20 metros cuadrados por persona,Porcentaje,13.3
2000,Proporción de personas que vive en una vivienda con problemas de exposición a ruidos y contaminación,Porcentaje,20.2
2004,Proporción de personas que vive en una vivienda con problemas de exposición a ruidos y contaminación,Porcentaje,16.0
2008,Proporción de personas que vive en una vivienda con problemas de exposición a ruidos y contaminación,Porcentaje,11.0
2012,Proporción de personas que vive en una vivienda con problemas de exposición a ruidos y contaminación,Porcentaje,13.9
2014,Proporción de personas que vive en una vivienda con problemas de exposición a ruidos y contaminación,Porcentaje,8.5
2016,Proporción de personas que vive en una vivienda con problemas de exposición a ruidos y contaminación,Porcentaje,9.2
2018,Proporción de personas que vive en una vivienda con problemas de exposición a ruidos y contaminación,Porcentaje,9.2
2020,Proporción de personas que vive en una vivienda con problemas de exposición a ruidos y contaminación,Porcentaje,8.9
2022,Proporción de personas que vive en una vivienda con problemas de exposición a ruidos y contaminación,Porcentaje,8.0
2004,"Proporción de personas que vive en una vivienda oscura, sin luz suficiente, o escasez de luz natural",Porcentaje,8.8
2008,"Proporción de personas que vive en una vivienda oscura, sin luz suficiente, o escasez de luz natural",Porcentaje,5.7
2012,"Proporción de personas que vive en una vivienda oscura, sin luz suficiente, o escasez de luz natural",Porcentaje,12.2
2014,"Proporción de personas que vive en una vivienda oscura, sin luz suficiente, o escasez de luz natural",Porcentaje,3.3
2016,"Proporción de personas que vive en una vivienda oscura, sin luz suficiente, o escasez de luz natural",Porcentaje,5.4
2018,"Proporción de personas que vive en una vivienda oscura, sin luz suficiente, o escasez de luz natural",Porcentaje,4.0
2020,"Proporción de personas que vive en una vivienda oscura, sin luz suficiente, o escasez de luz natural",Porcentaje,3.3
2022,"Proporción de personas que vive en una vivienda oscura, sin luz suficiente, o escasez de luz natural",Porcentaje,3.1
