Year,Series,Units,Value
2013,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,91.22
2018,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,99.46
2017,Tokiko administrazioak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,106.06
2022,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,105.06
2019,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,106.56
2014,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,98.26
2017,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,97.52
2021,Tokiko administrazioak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,107.29
2012,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,97.69
2020,Tokiko administrazioak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,90.48
2021,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,101.01
2020,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,99.79
2015,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,95.46
2010,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,100.0
2022,Tokiko administrazioak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,103.74
2023,Tokiko administrazioak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,101.37
2018,Tokiko administrazioak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,101.54
2019,Tokiko administrazioak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,100.69
2016,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,94.36
2011,Administrazio autonomikoak likidatutako gastua aurrekontuko gastuarekiko proportzioan,%,96.27
