Year,Series,Units,Value
2011,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,67.21
2014,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,49.62
2017,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,65.96
2020,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,65.98
2010,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,70.73
2022,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,78.48
2015,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,49.43
2016,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,52.35
2021,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,73.9
2018,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,60.66
2012,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,61.89
2019,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,63.9
2013,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,40.98
2010,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.11
2011,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.1
2012,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.09
2013,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.06
2014,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.07
2015,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.07
2016,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.07
2017,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.09
2018,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.08
2019,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.08
2020,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.09
2021,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.09
2022,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,Porcentaje,0.09
