Year,Eskumen mota,Sexua,Units,Value
2015,Irakurmena,,PT,82.6
2012,Irakurmena,,PT,85.6
2018,Irakurmena,,PT,77.0
2022,Irakurmena,,PT,74.2
2022,Irakurmena,F,PT,80.1
2015,Irakurmena,F,PT,86.6
2012,Irakurmena,F,PT,90.1
2018,Irakurmena,F,PT,83.6
2022,Irakurmena,M,PT,68.3
2015,Irakurmena,M,PT,78.4
2018,Irakurmena,M,PT,70.2
2012,Irakurmena,M,PT,81.1
2015,Matematika,,PT,80.5
2012,Matematika,,PT,84.5
2018,Matematika,,PT,81.9
2022,Matematika,,PT,77.3
2018,Matematika,F,PT,83.4
2022,Matematika,F,PT,78.0
2012,Matematika,F,PT,83.4
2015,Matematika,F,PT,79.9
2018,Matematika,M,PT,80.3
2015,Matematika,M,PT,81.1
2012,Matematika,M,PT,85.6
2022,Matematika,M,PT,76.7
