Year,Edad,Nivel educativo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2010,10 años y más,Estudios primarios,,,,Porcentaje,,36.4
2016,10 años y más,Estudios primarios,,,,Porcentaje,,33.3
2020,10 años y más,Estudios primarios,,,,Porcentaje,,30.0
2013,10 años y más,Estudios primarios,,,,Porcentaje,,34.7
2018,10 años y más,Estudios primarios,,,,Porcentaje,,31.7
2015,10 años y más,Estudios primarios,,,,Porcentaje,,33.8
2014,10 años y más,Estudios primarios,,,,Porcentaje,,34.3
2021,10 años y más,Estudios primarios,,,,Porcentaje,,29.3
2019,10 años y más,Estudios primarios,,,,Porcentaje,,30.6
2020,10 años y más,Estudios primarios,,,Abadiño,Porcentaje,Abadiño,35.6
2014,10 años y más,Estudios primarios,,,Abadiño,Porcentaje,Abadiño,39.2
2018,10 años y más,Estudios primarios,,,Abadiño,Porcentaje,Abadiño,37.2
2021,10 años y más,Estudios primarios,,,Abadiño,Porcentaje,Abadiño,34.6
2013,10 años y más,Estudios primarios,,,Abadiño,Porcentaje,Abadiño,40.0
2010,10 años y más,Estudios primarios,,,Abadiño,Porcentaje,Abadiño,41.1
2015,10 años y más,Estudios primarios,,,Abadiño,Porcentaje,Abadiño,38.8
2016,10 años y más,Estudios primarios,,,Abadiño,Porcentaje,Abadiño,38.3
2019,10 años y más,Estudios primarios,,,Abadiño,Porcentaje,Abadiño,36.2
2021,10 años y más,Estudios primarios,,,Abaltzisketa,Porcentaje,Abaltzisketa,39.1
2019,10 años y más,Estudios primarios,,,Abaltzisketa,Porcentaje,Abaltzisketa,42.0
2020,10 años y más,Estudios primarios,,,Abaltzisketa,Porcentaje,Abaltzisketa,40.8
2018,10 años y más,Estudios primarios,,,Abaltzisketa,Porcentaje,Abaltzisketa,44.1
2014,10 años y más,Estudios primarios,,,Abaltzisketa,Porcentaje,Abaltzisketa,49.8
2013,10 años y más,Estudios primarios,,,Abaltzisketa,Porcentaje,Abaltzisketa,49.8
2016,10 años y más,Estudios primarios,,,Abaltzisketa,Porcentaje,Abaltzisketa,49.5
2010,10 años y más,Estudios primarios,,,Abaltzisketa,Porcentaje,Abaltzisketa,56.9
2015,10 años y más,Estudios primarios,,,Abaltzisketa,Porcentaje,Abaltzisketa,49.1
2018,10 años y más,Estudios primarios,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,35.2
2021,10 años y más,Estudios primarios,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,32.7
2015,10 años y más,Estudios primarios,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,37.2
2016,10 años y más,Estudios primarios,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,36.4
2020,10 años y más,Estudios primarios,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,33.1
2019,10 años y más,Estudios primarios,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,34.0
2014,10 años y más,Estudios primarios,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,37.6
2013,10 años y más,Estudios primarios,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,38.7
2010,10 años y más,Estudios primarios,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,40.3
2010,10 años y más,Estudios primarios,,,Aduna,Porcentaje,Aduna,37.8
2014,10 años y más,Estudios primarios,,,Aduna,Porcentaje,Aduna,32.5
2015,10 años y más,Estudios primarios,,,Aduna,Porcentaje,Aduna,30.9
2013,10 años y más,Estudios primarios,,,Aduna,Porcentaje,Aduna,32.8
2018,10 años y más,Estudios primarios,,,Aduna,Porcentaje,Aduna,30.9
2021,10 años y más,Estudios primarios,,,Aduna,Porcentaje,Aduna,29.9
2016,10 años y más,Estudios primarios,,,Aduna,Porcentaje,Aduna,30.9
2019,10 años y más,Estudios primarios,,,Aduna,Porcentaje,Aduna,31.1
2020,10 años y más,Estudios primarios,,,Aduna,Porcentaje,Aduna,29.1
2013,10 años y más,Estudios primarios,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,44.9
2020,10 años y más,Estudios primarios,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,39.5
2015,10 años y más,Estudios primarios,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,43.3
2018,10 años y más,Estudios primarios,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,41.1
2019,10 años y más,Estudios primarios,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,40.7
2014,10 años y más,Estudios primarios,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,44.6
2010,10 años y más,Estudios primarios,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,46.3
2021,10 años y más,Estudios primarios,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,39.1
2016,10 años y más,Estudios primarios,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,42.9
2018,10 años y más,Estudios primarios,,,Aia,Porcentaje,Aia,33.5
2019,10 años y más,Estudios primarios,,,Aia,Porcentaje,Aia,32.6
2020,10 años y más,Estudios primarios,,,Aia,Porcentaje,Aia,32.2
2014,10 años y más,Estudios primarios,,,Aia,Porcentaje,Aia,33.8
2010,10 años y más,Estudios primarios,,,Aia,Porcentaje,Aia,35.8
2013,10 años y más,Estudios primarios,,,Aia,Porcentaje,Aia,34.5
2015,10 años y más,Estudios primarios,,,Aia,Porcentaje,Aia,34.3
2021,10 años y más,Estudios primarios,,,Aia,Porcentaje,Aia,30.9
2016,10 años y más,Estudios primarios,,,Aia,Porcentaje,Aia,34.2
2014,10 años y más,Estudios primarios,,,Aizarnazabal,Porcentaje,Aizarnazabal,44.3
2019,10 años y más,Estudios primarios,,,Aizarnazabal,Porcentaje,Aizarnazabal,42.2
2016,10 años y más,Estudios primarios,,,Aizarnazabal,Porcentaje,Aizarnazabal,44.1
2010,10 años y más,Estudios primarios,,,Aizarnazabal,Porcentaje,Aizarnazabal,47.9
2013,10 años y más,Estudios primarios,,,Aizarnazabal,Porcentaje,Aizarnazabal,44.5
2020,10 años y más,Estudios primarios,,,Aizarnazabal,Porcentaje,Aizarnazabal,40.2
2018,10 años y más,Estudios primarios,,,Aizarnazabal,Porcentaje,Aizarnazabal,40.5
2015,10 años y más,Estudios primarios,,,Aizarnazabal,Porcentaje,Aizarnazabal,44.4
2021,10 años y más,Estudios primarios,,,Aizarnazabal,Porcentaje,Aizarnazabal,38.0
2013,10 años y más,Estudios primarios,,,Ajangiz,Porcentaje,Ajangiz,36.2
2021,10 años y más,Estudios primarios,,,Ajangiz,Porcentaje,Ajangiz,27.4
2016,10 años y más,Estudios primarios,,,Ajangiz,Porcentaje,Ajangiz,32.0
2014,10 años y más,Estudios primarios,,,Ajangiz,Porcentaje,Ajangiz,35.7
2018,10 años y más,Estudios primarios,,,Ajangiz,Porcentaje,Ajangiz,29.6
2015,10 años y más,Estudios primarios,,,Ajangiz,Porcentaje,Ajangiz,34.1
2019,10 años y más,Estudios primarios,,,Ajangiz,Porcentaje,Ajangiz,28.0
2020,10 años y más,Estudios primarios,,,Ajangiz,Porcentaje,Ajangiz,27.8
2010,10 años y más,Estudios primarios,,,Ajangiz,Porcentaje,Ajangiz,38.9
2019,10 años y más,Estudios primarios,,,Albiztur,Porcentaje,Albiztur,35.5
2015,10 años y más,Estudios primarios,,,Albiztur,Porcentaje,Albiztur,33.6
2013,10 años y más,Estudios primarios,,,Albiztur,Porcentaje,Albiztur,33.2
2018,10 años y más,Estudios primarios,,,Albiztur,Porcentaje,Albiztur,36.4
2014,10 años y más,Estudios primarios,,,Albiztur,Porcentaje,Albiztur,31.5
2021,10 años y más,Estudios primarios,,,Albiztur,Porcentaje,Albiztur,34.5
2010,10 años y más,Estudios primarios,,,Albiztur,Porcentaje,Albiztur,35.9
2020,10 años y más,Estudios primarios,,,Albiztur,Porcentaje,Albiztur,35.0
2016,10 años y más,Estudios primarios,,,Albiztur,Porcentaje,Albiztur,35.5
2016,10 años y más,Estudios primarios,,,Alegia,Porcentaje,Alegia,43.7
2010,10 años y más,Estudios primarios,,,Alegia,Porcentaje,Alegia,45.9
2013,10 años y más,Estudios primarios,,,Alegia,Porcentaje,Alegia,43.7
2018,10 años y más,Estudios primarios,,,Alegia,Porcentaje,Alegia,40.8
2020,10 años y más,Estudios primarios,,,Alegia,Porcentaje,Alegia,38.7
2019,10 años y más,Estudios primarios,,,Alegia,Porcentaje,Alegia,39.8
2015,10 años y más,Estudios primarios,,,Alegia,Porcentaje,Alegia,43.3
2014,10 años y más,Estudios primarios,,,Alegia,Porcentaje,Alegia,43.4
2021,10 años y más,Estudios primarios,,,Alegia,Porcentaje,Alegia,37.4
2010,10 años y más,Estudios primarios,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,32.9
2015,10 años y más,Estudios primarios,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,32.6
2018,10 años y más,Estudios primarios,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,30.7
2021,10 años y más,Estudios primarios,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,29.2
2013,10 años y más,Estudios primarios,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,33.2
2019,10 años y más,Estudios primarios,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,30.6
2020,10 años y más,Estudios primarios,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,30.4
2016,10 años y más,Estudios primarios,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,32.7
2014,10 años y más,Estudios primarios,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,32.7
2013,10 años y más,Estudios primarios,,,Alkiza,Porcentaje,Alkiza,43.6
2014,10 años y más,Estudios primarios,,,Alkiza,Porcentaje,Alkiza,41.6
2015,10 años y más,Estudios primarios,,,Alkiza,Porcentaje,Alkiza,44.2
2020,10 años y más,Estudios primarios,,,Alkiza,Porcentaje,Alkiza,34.2
2018,10 años y más,Estudios primarios,,,Alkiza,Porcentaje,Alkiza,38.7
2019,10 años y más,Estudios primarios,,,Alkiza,Porcentaje,Alkiza,36.5
2010,10 años y más,Estudios primarios,,,Alkiza,Porcentaje,Alkiza,46.4
2021,10 años y más,Estudios primarios,,,Alkiza,Porcentaje,Alkiza,32.1
2016,10 años y más,Estudios primarios,,,Alkiza,Porcentaje,Alkiza,42.6
2019,10 años y más,Estudios primarios,,,Alonsotegi,Porcentaje,Alonsotegi,37.3
2016,10 años y más,Estudios primarios,,,Alonsotegi,Porcentaje,Alonsotegi,41.4
2021,10 años y más,Estudios primarios,,,Alonsotegi,Porcentaje,Alonsotegi,36.4
2014,10 años y más,Estudios primarios,,,Alonsotegi,Porcentaje,Alonsotegi,43.7
2018,10 años y más,Estudios primarios,,,Alonsotegi,Porcentaje,Alonsotegi,39.2
2020,10 años y más,Estudios primarios,,,Alonsotegi,Porcentaje,Alonsotegi,37.1
2010,10 años y más,Estudios primarios,,,Alonsotegi,Porcentaje,Alonsotegi,46.0
2015,10 años y más,Estudios primarios,,,Alonsotegi,Porcentaje,Alonsotegi,42.4
2013,10 años y más,Estudios primarios,,,Alonsotegi,Porcentaje,Alonsotegi,44.1
2020,10 años y más,Estudios primarios,,,Altzaga,Porcentaje,Altzaga,30.8
2016,10 años y más,Estudios primarios,,,Altzaga,Porcentaje,Altzaga,35.2
2019,10 años y más,Estudios primarios,,,Altzaga,Porcentaje,Altzaga,31.9
2015,10 años y más,Estudios primarios,,,Altzaga,Porcentaje,Altzaga,33.3
2010,10 años y más,Estudios primarios,,,Altzaga,Porcentaje,Altzaga,45.5
2018,10 años y más,Estudios primarios,,,Altzaga,Porcentaje,Altzaga,36.5
2014,10 años y más,Estudios primarios,,,Altzaga,Porcentaje,Altzaga,38.4
