Year,Series,Sexo,Units,Value
2020,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,10.61
2016,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,12.65
2015,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,11.78
2013,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,14.75
2021,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,8.27
2012,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,15.82
2019,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,9.03
2018,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,9.93
2017,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,10.47
2014,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,14.82
2022,Incidencia de la tuberculosis por cada 100.000 habitantes,,Por 100.000,10.91
2015,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,9.67
2012,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,12.53
2017,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,8.47
2019,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,6.55
2016,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,9.57
2021,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,6.56
2020,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,7.61
2022,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,8.68
2013,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,12.18
2014,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,12.1
2018,Incidencia de la tuberculosis por cada 100.000 habitantes,Mujer,Por 100.000,6.94
2018,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,13.12
2019,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,11.65
2016,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,15.91
2014,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,17.69
2020,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,13.79
2021,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,10.07
2012,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,19.28
2013,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,17.46
2015,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,14.01
2022,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,13.27
2017,Incidencia de la tuberculosis por cada 100.000 habitantes,Hombre,Por 100.000,12.58
