Year,Series,Actividad económica,Forma de medir el empleo,Sexo,Territorio histórico,Units,Value
2021,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,20.0
2017,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,20.3
2022,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,19.2
2011,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,22.8
2010,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,22.9
2015,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,19.7
2012,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,22.3
2018,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,20.9
2014,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,20.5
2023,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,18.9
2020,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,20.5
2013,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,21.1
2016,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,19.8
2019,Personas ocupadas en el sector manufacturero,Manufactura,,,,Porcentaje,20.5
2011,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,27.5
2022,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,24.7
2023,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,23.4
2019,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,24.5
2020,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,25.3
2013,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,24.4
2012,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,27.1
2014,Personas ocupadas en el sector manufacturero,Manufactura,,,Araba/Álava,Porcentaje,23.7
