Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2019,Proporción de viviendas familiares principales con acceso a agua corriente,,,,Porcentaje,,99.9
2023,Proporción de viviendas familiares principales con acceso a agua corriente,,,,Porcentaje,,99.9
2010,Proporción de viviendas familiares principales que disponen de baño,,,,Porcentaje,,99.5
2022,Proporción de viviendas familiares principales con acceso a agua corriente,,,,Porcentaje,,99.9
2014,Proporción de viviendas familiares principales con acceso a agua corriente,,,,Porcentaje,,99.9
2015,Proporción de viviendas familiares principales que disponen de baño,,,,Porcentaje,,99.6
2021,Proporción de viviendas familiares principales con acceso a agua corriente,,,,Porcentaje,,99.9
2013,Proporción de viviendas familiares principales con acceso a agua corriente,,,,Porcentaje,,99.9
2021,Proporción de viviendas familiares principales que disponen de baño,,,,Porcentaje,,99.8
2016,Proporción de viviendas familiares principales con acceso a agua corriente,,,,Porcentaje,,99.9
2015,Proporción de viviendas familiares principales con acceso a agua corriente,,,,Porcentaje,,99.9
2020,Proporción de viviendas familiares principales que disponen de baño,,,,Porcentaje,,99.8
2016,Proporción de viviendas familiares principales que disponen de baño,,,,Porcentaje,,99.6
2020,Proporción de viviendas familiares principales con acceso a agua corriente,,,,Porcentaje,,99.9
2018,Proporción de viviendas familiares principales con acceso a agua corriente,,,,Porcentaje,,99.9
2013,Proporción de viviendas familiares principales que disponen de baño,,,,Porcentaje,,99.6
2023,Proporción de viviendas familiares principales que disponen de baño,,,,Porcentaje,,99.8
2019,Proporción de viviendas familiares principales que disponen de baño,,,,Porcentaje,,99.6
2022,Proporción de viviendas familiares principales que disponen de baño,,,,Porcentaje,,99.8
2014,Proporción de viviendas familiares principales que disponen de baño,,,,Porcentaje,,99.6
2018,Proporción de viviendas familiares principales que disponen de baño,,,,Porcentaje,,99.6
2010,Proporción de viviendas familiares principales con acceso a agua corriente,,,,Porcentaje,,99.9
2022,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2015,Proporción de viviendas familiares principales que disponen de baño,,,Abadiño,Porcentaje,Abadiño,99.7
2016,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2010,Proporción de viviendas familiares principales que disponen de baño,,,Abadiño,Porcentaje,Abadiño,99.7
2023,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2015,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2013,Proporción de viviendas familiares principales que disponen de baño,,,Abadiño,Porcentaje,Abadiño,99.7
2019,Proporción de viviendas familiares principales que disponen de baño,,,Abadiño,Porcentaje,Abadiño,99.8
2020,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2021,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2021,Proporción de viviendas familiares principales que disponen de baño,,,Abadiño,Porcentaje,Abadiño,100.0
2019,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2010,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2018,Proporción de viviendas familiares principales que disponen de baño,,,Abadiño,Porcentaje,Abadiño,99.8
2022,Proporción de viviendas familiares principales que disponen de baño,,,Abadiño,Porcentaje,Abadiño,100.0
2014,Proporción de viviendas familiares principales que disponen de baño,,,Abadiño,Porcentaje,Abadiño,99.7
2020,Proporción de viviendas familiares principales que disponen de baño,,,Abadiño,Porcentaje,Abadiño,100.0
2018,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2014,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2013,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abadiño,Porcentaje,Abadiño,100.0
2016,Proporción de viviendas familiares principales que disponen de baño,,,Abadiño,Porcentaje,Abadiño,99.7
2023,Proporción de viviendas familiares principales que disponen de baño,,,Abadiño,Porcentaje,Abadiño,100.0
2019,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2018,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2020,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2014,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2018,Proporción de viviendas familiares principales que disponen de baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2014,Proporción de viviendas familiares principales que disponen de baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2022,Proporción de viviendas familiares principales que disponen de baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,98.1
2013,Proporción de viviendas familiares principales que disponen de baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2021,Proporción de viviendas familiares principales que disponen de baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,98.2
2015,Proporción de viviendas familiares principales que disponen de baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2016,Proporción de viviendas familiares principales que disponen de baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2020,Proporción de viviendas familiares principales que disponen de baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,97.3
2023,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2021,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2022,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2023,Proporción de viviendas familiares principales que disponen de baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,98.2
2010,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2010,Proporción de viviendas familiares principales que disponen de baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2013,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2016,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2019,Proporción de viviendas familiares principales que disponen de baño,,,Abaltzisketa,Porcentaje,Abaltzisketa,96.4
2015,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abaltzisketa,Porcentaje,Abaltzisketa,99.1
2020,Proporción de viviendas familiares principales que disponen de baño,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.9
2013,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2016,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.8
2021,Proporción de viviendas familiares principales que disponen de baño,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.9
2018,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.8
2015,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.8
2010,Proporción de viviendas familiares principales que disponen de baño,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.2
2020,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2014,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.8
2023,Proporción de viviendas familiares principales que disponen de baño,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.9
2022,Proporción de viviendas familiares principales que disponen de baño,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.9
2014,Proporción de viviendas familiares principales que disponen de baño,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.2
2016,Proporción de viviendas familiares principales que disponen de baño,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.2
2018,Proporción de viviendas familiares principales que disponen de baño,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.1
2019,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2010,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.8
2021,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2013,Proporción de viviendas familiares principales que disponen de baño,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.2
2019,Proporción de viviendas familiares principales que disponen de baño,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.1
2023,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2015,Proporción de viviendas familiares principales que disponen de baño,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.1
2022,Proporción de viviendas familiares principales con acceso a agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,99.7
2015,Proporción de viviendas familiares principales que disponen de baño,,,Aduna,Porcentaje,Aduna,97.2
2016,Proporción de viviendas familiares principales que disponen de baño,,,Aduna,Porcentaje,Aduna,97.2
2018,Proporción de viviendas familiares principales que disponen de baño,,,Aduna,Porcentaje,Aduna,97.1
2014,Proporción de viviendas familiares principales con acceso a agua corriente,,,Aduna,Porcentaje,Aduna,100.0
2020,Proporción de viviendas familiares principales que disponen de baño,,,Aduna,Porcentaje,Aduna,96.5
2023,Proporción de viviendas familiares principales que disponen de baño,,,Aduna,Porcentaje,Aduna,96.7
2023,Proporción de viviendas familiares principales con acceso a agua corriente,,,Aduna,Porcentaje,Aduna,100.0
2019,Proporción de viviendas familiares principales con acceso a agua corriente,,,Aduna,Porcentaje,Aduna,100.0
2022,Proporción de viviendas familiares principales que disponen de baño,,,Aduna,Porcentaje,Aduna,96.6
2016,Proporción de viviendas familiares principales con acceso a agua corriente,,,Aduna,Porcentaje,Aduna,100.0
2010,Proporción de viviendas familiares principales con acceso a agua corriente,,,Aduna,Porcentaje,Aduna,100.0
2010,Proporción de viviendas familiares principales que disponen de baño,,,Aduna,Porcentaje,Aduna,96.9
2013,Proporción de viviendas familiares principales con acceso a agua corriente,,,Aduna,Porcentaje,Aduna,100.0
2013,Proporción de viviendas familiares principales que disponen de baño,,,Aduna,Porcentaje,Aduna,97.1
2019,Proporción de viviendas familiares principales que disponen de baño,,,Aduna,Porcentaje,Aduna,96.4
2021,Proporción de viviendas familiares principales con acceso a agua corriente,,,Aduna,Porcentaje,Aduna,100.0
2022,Proporción de viviendas familiares principales con acceso a agua corriente,,,Aduna,Porcentaje,Aduna,100.0
2021,Proporción de viviendas familiares principales que disponen de baño,,,Aduna,Porcentaje,Aduna,96.6
2020,Proporción de viviendas familiares principales con acceso a agua corriente,,,Aduna,Porcentaje,Aduna,100.0
2018,Proporción de viviendas familiares principales con acceso a agua corriente,,,Aduna,Porcentaje,Aduna,100.0
2015,Proporción de viviendas familiares principales con acceso a agua corriente,,,Aduna,Porcentaje,Aduna,100.0
2014,Proporción de viviendas familiares principales que disponen de baño,,,Aduna,Porcentaje,Aduna,97.1
2016,Proporción de viviendas familiares principales que disponen de baño,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2015,Proporción de viviendas familiares principales que disponen de baño,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2013,Proporción de viviendas familiares principales con acceso a agua corriente,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2013,Proporción de viviendas familiares principales que disponen de baño,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.8
2018,Proporción de viviendas familiares principales que disponen de baño,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2010,Proporción de viviendas familiares principales con acceso a agua corriente,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2022,Proporción de viviendas familiares principales que disponen de baño,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2018,Proporción de viviendas familiares principales con acceso a agua corriente,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2015,Proporción de viviendas familiares principales con acceso a agua corriente,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2021,Proporción de viviendas familiares principales con acceso a agua corriente,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2020,Proporción de viviendas familiares principales con acceso a agua corriente,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2022,Proporción de viviendas familiares principales con acceso a agua corriente,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2019,Proporción de viviendas familiares principales que disponen de baño,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2021,Proporción de viviendas familiares principales que disponen de baño,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2016,Proporción de viviendas familiares principales con acceso a agua corriente,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2014,Proporción de viviendas familiares principales que disponen de baño,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,99.9
2014,Proporción de viviendas familiares principales con acceso a agua corriente,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
