Year,Sexo,Edad,Umbral de la pobreza,Ingresos,Territorio,Units,Value
2018,Hombre,16 años y más,Autonómico,,Araba/Álava,Porcentaje,11.9
2020,Hombre,16 años y más,Autonómico,,Araba/Álava,Porcentaje,16.2
2022,Hombre,16 años y más,Autonómico,,Araba/Álava,Porcentaje,12.7
2018,Mujer,16 años y más,Autonómico,,Araba/Álava,Porcentaje,17.1
2020,Mujer,16 años y más,Autonómico,,Araba/Álava,Porcentaje,18.9
2022,Mujer,16 años y más,Autonómico,,Araba/Álava,Porcentaje,15.4
2018,_T,16 años y más,Autonómico,,Araba/Álava,Porcentaje,14.6
2020,_T,16 años y más,Autonómico,,Araba/Álava,Porcentaje,17.6
2022,_T,16 años y más,Autonómico,,Araba/Álava,Porcentaje,14.1
2018,Hombre,16 años y más,Autonómico,,Gipuzkoa,Porcentaje,10.4
2020,Hombre,16 años y más,Autonómico,,Gipuzkoa,Porcentaje,13.3
2022,Hombre,16 años y más,Autonómico,,Gipuzkoa,Porcentaje,12.0
2018,Mujer,16 años y más,Autonómico,,Gipuzkoa,Porcentaje,13.9
2020,Mujer,16 años y más,Autonómico,,Gipuzkoa,Porcentaje,16.2
2022,Mujer,16 años y más,Autonómico,,Gipuzkoa,Porcentaje,13.4
2018,_T,16 años y más,Autonómico,,Gipuzkoa,Porcentaje,12.2
2020,_T,16 años y más,Autonómico,,Gipuzkoa,Porcentaje,14.8
2022,_T,16 años y más,Autonómico,,Gipuzkoa,Porcentaje,12.7
2018,Hombre,16 años y más,Autonómico,,Bizkaia,Porcentaje,18.0
2020,Hombre,16 años y más,Autonómico,,Bizkaia,Porcentaje,15.7
2022,Hombre,16 años y más,Autonómico,,Bizkaia,Porcentaje,16.3
2018,Mujer,16 años y más,Autonómico,,Bizkaia,Porcentaje,21.7
2020,Mujer,16 años y más,Autonómico,,Bizkaia,Porcentaje,17.4
2022,Mujer,16 años y más,Autonómico,,Bizkaia,Porcentaje,18.7
2018,_T,16 años y más,Autonómico,,Bizkaia,Porcentaje,19.9
2020,_T,16 años y más,Autonómico,,Bizkaia,Porcentaje,17.4
2022,_T,16 años y más,Autonómico,,Bizkaia,Porcentaje,17.5
2008,Hombre,16 años y más,Autonómico,,,Porcentaje,11.7
2012,Hombre,16 años y más,Autonómico,,,Porcentaje,13.6
2014,Hombre,16 años y más,Autonómico,,,Porcentaje,16.0
2016,Hombre,16 años y más,Autonómico,,,Porcentaje,14.1
2018,Hombre,16 años y más,Autonómico,,,Porcentaje,14.6
2020,Hombre,16 años y más,Autonómico,,,Porcentaje,15.0
2022,Hombre,16 años y más,Autonómico,,,Porcentaje,14.3
2008,Mujer,16 años y más,Autonómico,,,Porcentaje,16.6
2012,Mujer,16 años y más,Autonómico,,,Porcentaje,16.9
2014,Mujer,16 años y más,Autonómico,,,Porcentaje,18.4
2016,Mujer,16 años y más,Autonómico,,,Porcentaje,16.8
2018,Mujer,16 años y más,Autonómico,,,Porcentaje,18.4
2020,Mujer,16 años y más,Autonómico,,,Porcentaje,18.0
2022,Mujer,16 años y más,Autonómico,,,Porcentaje,16.5
2008,_T,16 años y más,Autonómico,,,Porcentaje,14.3
2012,_T,16 años y más,Autonómico,,,Porcentaje,15.3
2014,_T,16 años y más,Autonómico,,,Porcentaje,17.3
2016,_T,16 años y más,Autonómico,,,Porcentaje,15.5
2018,_T,16 años y más,Autonómico,,,Porcentaje,16.6
2020,_T,16 años y más,Autonómico,,,Porcentaje,16.5
2022,_T,16 años y más,Autonómico,,,Porcentaje,15.5
2008,_T,_T,Autonómico,Ingresos con alquiler imputado,,Porcentaje,10.3
2012,_T,_T,Autonómico,Ingresos con alquiler imputado,,Porcentaje,12.5
2016,_T,_T,Autonómico,Ingresos con alquiler imputado,,Porcentaje,14.3
2020,_T,_T,Autonómico,Ingresos con alquiler imputado,,Porcentaje,16.4
2008,_T,_T,Autonómico,,,Porcentaje,14.8
2012,_T,_T,Autonómico,,,Porcentaje,15.4
2014,_T,_T,Autonómico,,,Porcentaje,18.5
2016,_T,_T,Autonómico,,,Porcentaje,16.4
2018,_T,_T,Autonómico,,,Porcentaje,17.7
2020,_T,_T,Autonómico,,,Porcentaje,17.8
2022,_T,_T,Autonómico,,,Porcentaje,16.5
2008,_T,_T,Nacional,Ingresos con alquiler imputado,,Porcentaje,4.5
2012,_T,_T,Nacional,Ingresos con alquiler imputado,,Porcentaje,7.1
2016,_T,_T,Nacional,Ingresos con alquiler imputado,,Porcentaje,7.7
2020,_T,_T,Nacional,Ingresos con alquiler imputado,,Porcentaje,8.6
2008,_T,_T,Nacional,,,Porcentaje,8.8
2012,_T,_T,Nacional,,,Porcentaje,8.8
2014,_T,_T,Nacional,,,Porcentaje,10.3
2016,_T,_T,Nacional,,,Porcentaje,9.0
2018,_T,_T,Nacional,,,Porcentaje,10.2
2020,_T,_T,Nacional,,,Porcentaje,9.8
2022,_T,_T,Nacional,,,Porcentaje,10.6
