Year,Series,Units,Value
2013,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,91.22
2018,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,99.46
2017,Gasto liquidado por la administración local en relación al gasto presupuestado,%,106.06
2022,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,105.06
2019,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,106.56
2014,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,98.26
2017,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,97.52
2021,Gasto liquidado por la administración local en relación al gasto presupuestado,%,107.29
2012,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,97.69
2020,Gasto liquidado por la administración local en relación al gasto presupuestado,%,90.48
2021,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,101.01
2020,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,99.79
2015,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,95.46
2010,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,100.0
2022,Gasto liquidado por la administración local en relación al gasto presupuestado,%,103.74
2023,Gasto liquidado por la administración local en relación al gasto presupuestado,%,101.37
2018,Gasto liquidado por la administración local en relación al gasto presupuestado,%,101.54
2019,Gasto liquidado por la administración local en relación al gasto presupuestado,%,100.69
2016,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,94.36
2011,Gasto liquidado por la administración autonómica en relación al gasto presupuestado,%,96.27
