Year,Series,Nivel educativo,Units,_NAME_,Value
2022,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2022,100
2012,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2012,100
2015,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2015,100
2018,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2018,100
2023,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2023,100
2013,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2013,100
2021,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2021,100
2011,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2011,100
2017,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2017,100
2020,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2020,100
2014,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2014,100
2019,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2019,100
2010,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2010,100
2016,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Preescolar,Porcentaje,2016,100
2013,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2013,100
2014,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2014,100
2012,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2012,100
2011,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2011,100
2018,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2018,100
2017,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2017,100
2023,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2023,100
2016,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2016,100
2020,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2020,100
2015,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2015,100
2022,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2022,100
2021,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2021,100
2019,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2019,100
2010,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Primaria,Porcentaje,2010,100
2019,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2019,100
2016,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2016,100
2018,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2018,100
2020,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2020,100
2023,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2023,100
2022,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2022,100
2021,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2021,100
2017,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2017,100
2011,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2011,100
2010,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2010,100
2015,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2015,100
2012,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2012,100
2014,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2014,100
2013,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,2013,100
2010,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2010,100
2019,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2019,100
2023,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2023,100
2015,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2015,100
2012,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2012,100
2014,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2014,100
2017,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2017,100
2016,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2016,100
2013,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2013,100
2018,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2018,100
2021,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2021,100
2020,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2020,100
2022,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2022,100
2011,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,2011,100
