Year,Series,Actividad económica,Units,Value
2019,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,33.4
2020,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,34.6
2018,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.7
2012,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.8
2013,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.1
2022,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,30.2
2021,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.3
2014,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,31.8
2023,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,33.4
2010,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,31.7
2011,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.7
2016,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.7
2017,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.7
2015,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,Manufactura,%,32.2
