Year,Servicios esenciales,Units,Value
2014,,Porcentaje,70.0
2021,,Porcentaje,72.5
2020,,Porcentaje,72.0
2017,,Porcentaje,70.1
2015,,Porcentaje,70.3
2016,,Porcentaje,70.5
2018,,Porcentaje,71.0
2012,,Porcentaje,69.3
2019,,Porcentaje,71.2
2022,Educación,Porcentaje,10.6
2017,Educación,Porcentaje,10.9
2012,Educación,Porcentaje,11.1
2020,Educación,Porcentaje,10.2
2019,Educación,Porcentaje,10.7
2016,Educación,Porcentaje,11.0
2021,Educación,Porcentaje,10.5
2014,Educación,Porcentaje,10.9
2015,Educación,Porcentaje,11.0
2018,Educación,Porcentaje,10.8
2016,Salud,Porcentaje,13.8
2017,Salud,Porcentaje,13.8
2018,Salud,Porcentaje,14.1
2019,Salud,Porcentaje,14.1
2020,Salud,Porcentaje,13.9
2021,Salud,Porcentaje,14.7
2010,Salud,Porcentaje,13.7
2015,Salud,Porcentaje,13.8
2011,Salud,Porcentaje,13.8
2012,Salud,Porcentaje,13.7
2014,Salud,Porcentaje,13.5
2013,Salud,Porcentaje,13.6
2019,Protección social,Porcentaje,46.4
2021,Protección social,Porcentaje,47.3
2022,Protección social,Porcentaje,46.4
2010,Protección social,Porcentaje,40.3
2011,Protección social,Porcentaje,42.0
2012,Protección social,Porcentaje,44.5
2020,Protección social,Porcentaje,47.9
2013,Protección social,Porcentaje,46.0
2014,Protección social,Porcentaje,45.6
2015,Protección social,Porcentaje,45.5
2016,Protección social,Porcentaje,45.7
2017,Protección social,Porcentaje,45.3
2018,Protección social,Porcentaje,46.1
