Year,Series,Territorio,Units,Value
2012,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,25.9
2014,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,25.9
2022,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,19.9
2011,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,26.0
2010,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,25.8
2013,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,26.8
2017,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,23.7
2021,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,21.1
2020,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,22.2
2016,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,23.4
2015,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,23.9
2018,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,23.0
2019,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,,Porcentaje,22.4
2012,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,18.6
2018,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,16.7
2021,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,15.1
2015,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,17.0
2014,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,18.6
2013,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,19.0
2017,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,17.4
2020,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,16.0
2022,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,15.1
2010,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,20.6
2011,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,19.5
2016,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,17.2
2019,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Araba/Álava,Porcentaje,16.3
2016,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,25.7
2022,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,19.5
2010,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,29.0
2013,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,31.6
2019,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,25.0
2017,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,26.0
2015,Proporción del valor añadido total del sector manufacturero correspondiente a las pequeñas empresas,Bizkaia,Porcentaje,26.9
