Year,Series,Lurralde historikoa,Units,Value
2013,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,5.9
2020,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,3.8
2011,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,5.5
2019,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,6.4
2015,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,6.3
2018,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,6.3
2022,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,5.5
2012,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,5.8
2014,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,6.1
2017,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,6.4
2016,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,6.5
2010,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,5.4
2021,"Turismoak sortutako BPG, BPG osoaren proportzioan",,Porcentaje,4.0
2013,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,5.3
2017,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,5.5
2011,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,5.0
2019,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,5.3
2010,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,4.8
2020,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,3.5
2015,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,5.5
2014,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,5.3
2022,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,4.9
2012,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,5.4
2021,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,3.9
2018,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,5.4
2016,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,Porcentaje,5.5
2019,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,5.6
2017,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,5.7
2021,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,3.3
2014,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,5.3
2022,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,4.6
2015,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,5.6
2013,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,5.2
2010,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,4.6
2012,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,5.0
2011,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,4.8
2016,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,5.7
2020,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,3.2
2018,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,Porcentaje,5.7
2019,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,8.0
2016,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,8.2
2015,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,8.0
2014,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,7.6
2012,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,7.3
2011,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,7.0
2013,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,7.4
2020,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,4.8
2018,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,7.9
2021,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,5.3
2010,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,7.0
2022,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,7.1
2017,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,Porcentaje,8.1
2013,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,0.6
2011,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,2.2
2022,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,49.3
2021,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,16.6
2012,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,3.2
2019,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,4.0
2020,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,-46.5
2016,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,6.4
2018,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,2.6
2014,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,4.3
2015,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,8.3
2017,Turismoak sortutako BPGren hazkunde-tasa,,Porcentaje,2.9
2019,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,2.2
2016,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,4.8
2017,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,2.1
2013,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,-3.1
2015,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,6.2
2020,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,-41.0
2012,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,6.0
2011,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,7.0
2021,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,19.0
2022,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,37.0
2018,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,1.0
2014,Turismoak sortutako BPGren hazkunde-tasa,Araba / Álava,Porcentaje,3.3
2012,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,3.1
2014,Turismoak sortutako BPGren hazkunde-tasa,Bizkaia,Porcentaje,3.8
