Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2020,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.7
2021,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.8
2022,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.8
2019,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.5
2010,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.9
2018,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.2
2016,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.9
2018,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,52.5
2021,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,53.3
2020,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,53.3
2016,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,53.5
2010,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,53.3
2022,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,53.4
2019,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,52.8
2010,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,53.5
2019,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2020,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2022,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2016,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,52.5
2021,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2018,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2016,Superficie forestal en proporción a la superficie total,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,35.7
2019,Superficie forestal en proporción a la superficie total,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,29.4
2022,Superficie forestal en proporción a la superficie total,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,29.9
2021,Superficie forestal en proporción a la superficie total,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,29.9
