Year,Series,Umbral de pobreza,Grupo de ingresos,Units,Value
2022,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Autonómico,El 50 % más pobre,Porcentaje,10.0
2014,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Autonómico,El 50 % más pobre,Porcentaje,11.0
2016,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Autonómico,El 50 % más pobre,Porcentaje,10.0
2008,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Autonómico,El 50 % más pobre,Porcentaje,8.0
2012,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Autonómico,El 50 % más pobre,Porcentaje,8.7
2018,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Autonómico,El 50 % más pobre,Porcentaje,10.6
2020,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Autonómico,El 50 % más pobre,Porcentaje,11.1
2018,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Nacional,El 50 % más pobre,Porcentaje,5.9
2016,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Nacional,El 50 % más pobre,Porcentaje,4.8
2008,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Nacional,El 50 % más pobre,Porcentaje,4.4
2014,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Nacional,El 50 % más pobre,Porcentaje,5.2
2012,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Nacional,El 50 % más pobre,Porcentaje,4.1
2020,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Nacional,El 50 % más pobre,Porcentaje,6.0
2022,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,Nacional,El 50 % más pobre,Porcentaje,6.0
