Year,Series,Sexua,Units,Value
2015,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2017,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2014,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2022,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2020,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2010,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2012,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2018,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2011,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2021,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2016,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2013,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2023,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2019,Malariaren intzidentzia 1.000 biztanleko,,PER_1000,0
2017,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2014,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2023,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2016,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2021,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2011,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2020,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2022,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2019,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2010,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2015,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2013,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2018,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2012,Malariaren intzidentzia 1.000 biztanleko,Emakumea,PER_1000,0
2018,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2019,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2021,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2014,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2020,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2015,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2010,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2011,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2012,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2013,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2017,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2023,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2022,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
2016,Malariaren intzidentzia 1.000 biztanleko,Gizona,PER_1000,0
