Year,Series,Province,County,Municipality,Units,GeoCode,Value
2014,Proportion of the farming area under organic farming,,,,%,,1.3
2010,Proportion of the farming area under organic farming,,,,%,,0.8
2021,Proportion of the farming area under organic farming,,,,%,,3.5
2018,Proportion of the farming area under organic farming,,,,%,,2.0
2019,Proportion of the farming area under organic farming,,,,%,,2.5
2013,Proportion of the farming area under organic farming,,,,%,,1.2
2012,Proportion of the farming area under organic farming,,,,%,,1.1
2023,Proportion of the farming area under organic farming,,,,%,,4.8
2016,Proportion of the farming area under organic farming,,,,%,,1.5
2009,Proportion of the farming area under organic farming,,,,%,,0.7
2011,Proportion of the farming area under organic farming,,,,%,,0.9
2020,Proportion of the farming area under organic farming,,,,%,,3.0
2015,Proportion of the farming area under organic farming,,,,%,,1.3
2022,Proportion of the farming area under organic farming,,,,%,,4.1
2017,Proportion of the farming area under organic farming,,,,%,,1.9
2008,Proportion of the farming area under organic farming,,,,%,,0.6
2012,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,0.5
2017,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,0.3
2013,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,0.5
2011,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,0.5
2019,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,3.8
2014,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,0.5
2010,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,0.3
2022,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,5.5
2020,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,5.3
2016,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,0.3
2015,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,0.5
2018,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,0.3
2023,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,5.6
2021,Proportion of the farming area under organic farming,,,Abadiño,%,Abadiño,5.6
2018,Proportion of the farming area under organic farming,,,Abaltzisketa,%,Abaltzisketa,1.0
