Year,Series,Province,County,Municipality,Units,GeoCode,Value
2013,GF_XPD_GBPC,,,,%,,91.22
2022,GF_XPD_GBPC,,,,%,,105.06
2020,GF_XPD_GBPC,,,,%,,99.79
2021,GF_XPD_GBPC,,,,%,,101.01
2015,GF_XPD_GBPC,,,,%,,95.46
2014,GF_XPD_GBPC,,,,%,,98.26
2011,GF_XPD_GBPC,,,,%,,96.27
2016,GF_XPD_GBPC,,,,%,,94.36
2012,GF_XPD_GBPC,,,,%,,97.69
2010,GF_XPD_GBPC,,,,%,,100.0
2017,GF_XPD_GBPC,,,,%,,97.52
2019,GF_XPD_GBPC,,,,%,,106.56
2018,GF_XPD_GBPC,,,,%,,99.46
2012,EU_XPD_LOCALGBPC,,,,%,,93.03
2011,EU_XPD_LOCALGBPC,,,,%,,100.45
2019,EU_XPD_LOCALGBPC,,,,%,,100.27
2020,EU_XPD_LOCALGBPC,,,,%,,93.84
2010,EU_XPD_LOCALGBPC,,,,%,,110.23
2018,EU_XPD_LOCALGBPC,,,,%,,97.17
2022,EU_XPD_LOCALGBPC,,,,%,,100.26
2013,EU_XPD_LOCALGBPC,,,,%,,100.2
2017,EU_XPD_LOCALGBPC,,,,%,,96.78
2021,EU_XPD_LOCALGBPC,,,,%,,99.22
2016,EU_XPD_LOCALGBPC,,,,%,,97.37
2014,EU_XPD_LOCALGBPC,,,,%,,98.47
2015,EU_XPD_LOCALGBPC,,,,%,,98.05
2022,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,120.7
2017,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,94.77
2013,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,93.98
2011,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,103.15
2018,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,97.77
2016,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,98.95
2012,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,92.13
2021,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,93.28
2010,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,94.09
2019,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,107.01
2015,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,95.83
2020,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,83.11
2014,EU_XPD_LOCALGBPC,,,Abadiño,%,Abadiño,112.36
2021,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,106.61
2010,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,78.58
2013,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,168.2
2018,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,148.95
2017,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,87.58
2019,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,102.68
2016,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,112.42
2020,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,145.46
2011,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,97.83
2012,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,72.94
2015,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,120.05
2014,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,116.37
2022,EU_XPD_LOCALGBPC,,,Abaltzisketa,%,Abaltzisketa,100.95
2010,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,94.43
2018,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.15
2014,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,95.33
2021,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,92.53
2011,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,105.97
2015,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,110.54
2017,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,101.34
2020,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,90.53
2013,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,95.39
2019,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.5
2022,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,101.44
2012,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,97.55
2016,EU_XPD_LOCALGBPC,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,101.47
2018,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,118.4
2014,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,89.56
2013,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,61.42
2016,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,125.19
2021,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,77.91
2019,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,147.22
2015,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,108.92
2022,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,116.66
2012,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,53.98
2010,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,90.74
2017,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,88.4
2011,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,68.46
2020,EU_XPD_LOCALGBPC,,,Aduna,%,Aduna,89.2
2017,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,82.52
2015,EU_XPD_LOCALGBPC,,,Agurain/Salvatierra,%,Agurain/Salvatierra,79.31
