Year,Basic services,Units,_NAME_,Value
2010,Electricity,%,2010,100.0
2022,Electricity,%,2022,100.0
2017,Electricity,%,2017,100.0
2014,Electricity,%,2014,100.0
2015,Electricity,%,2015,100.0
2023,Electricity,%,2023,100.0
2018,Electricity,%,2018,100.0
2013,Electricity,%,2013,100.0
2016,Electricity,%,2016,100.0
2019,Electricity,%,2019,100.0
2020,Electricity,%,2020,100.0
2011,Electricity,%,2011,100.0
2021,Electricity,%,2021,100.0
2012,Electricity,%,2012,100.0
2011,Internet connection,%,2011,99.8
2015,Internet connection,%,2015,99.8
2021,Internet connection,%,2021,100.0
2012,Internet connection,%,2012,99.8
2017,Internet connection,%,2017,100.0
2019,Internet connection,%,2019,99.9
2023,Internet connection,%,2023,99.9
2013,Internet connection,%,2013,99.5
2016,Internet connection,%,2016,99.9
2014,Internet connection,%,2014,99.8
2020,Single-sex restrooms,%,2020,100.0
2014,Single-sex restrooms,%,2014,100.0
2016,Single-sex restrooms,%,2016,100.0
2018,Single-sex restrooms,%,2018,100.0
2019,Single-sex restrooms,%,2019,100.0
2017,Single-sex restrooms,%,2017,100.0
2015,Single-sex restrooms,%,2015,100.0
2012,Single-sex restrooms,%,2012,100.0
2011,Single-sex restrooms,%,2011,100.0
2010,Single-sex restrooms,%,2010,100.0
2013,Single-sex restrooms,%,2013,100.0
2021,Single-sex restrooms,%,2021,100.0
2022,Single-sex restrooms,%,2022,100.0
2023,Single-sex restrooms,%,2023,100.0
2010,Drinking water,%,2010,100.0
2016,Drinking water,%,2016,100.0
2011,Drinking water,%,2011,100.0
2012,Drinking water,%,2012,100.0
2013,Drinking water,%,2013,100.0
2014,Drinking water,%,2014,100.0
2015,Drinking water,%,2015,100.0
2017,Drinking water,%,2017,100.0
2018,Drinking water,%,2018,100.0
2019,Drinking water,%,2019,100.0
2020,Drinking water,%,2020,100.0
2021,Drinking water,%,2021,100.0
2022,Drinking water,%,2022,100.0
2023,Drinking water,%,2023,100.0
2010,Handwashing,%,2010,100.0
2011,Handwashing,%,2011,100.0
2012,Handwashing,%,2012,100.0
2013,Handwashing,%,2013,100.0
2014,Handwashing,%,2014,100.0
2015,Handwashing,%,2015,100.0
2016,Handwashing,%,2016,100.0
2017,Handwashing,%,2017,100.0
2018,Handwashing,%,2018,100.0
2019,Handwashing,%,2019,100.0
2020,Handwashing,%,2020,100.0
2021,Handwashing,%,2021,100.0
2022,Handwashing,%,2022,100.0
2023,Handwashing,%,2023,100.0
