Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2014,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,1.3
2010,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,0.8
2021,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,3.5
2018,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,2.0
2019,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,2.5
2013,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,1.2
2012,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,1.1
2023,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,4.8
2016,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,1.5
2009,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,0.7
2011,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,0.9
2020,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,3.0
2015,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,1.3
2022,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,4.1
2017,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,1.9
2008,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,,%,,0.6
2012,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,0.5
2017,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,0.3
2013,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,0.5
2011,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,0.5
2019,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,3.8
2014,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,0.5
2010,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,0.3
2022,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,5.5
2020,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,5.3
2016,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,0.3
2015,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,0.5
2018,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,0.3
2023,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,5.6
2021,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abadiño,%,Abadiño,5.6
2018,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,1.0
2023,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,2.2
2015,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,0.0
2021,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,2.2
2016,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,0.0
2012,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,1.1
2022,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,2.2
2010,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,1.1
2014,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,0.0
2017,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,0.0
2020,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,0.8
2013,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,1.1
2019,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,0.8
2011,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abaltzisketa,%,Abaltzisketa,1.1
2019,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.1
2021,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.3
2014,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.0
2022,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.3
2010,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.0
2011,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.0
2015,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.0
2018,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,1.9
2017,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.0
2013,Proporción de la superficie agrícola dedicada a la agricultura ecológica,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.0
