Year,Sex,Province,County,Municipality,Units,GeoCode,Value
2018,,,,,"Per 100,000 inhabitants",,0.18
2019,,,,,"Per 100,000 inhabitants",,0.09
2020,,,,,"Per 100,000 inhabitants",,0.05
2017,,,,,"Per 100,000 inhabitants",,0.23
2012,,,,,"Per 100,000 inhabitants",,0.0
2011,,,,,"Per 100,000 inhabitants",,0.14
2015,,,,,"Per 100,000 inhabitants",,0.09
2016,,,,,"Per 100,000 inhabitants",,0.14
2010,,,,,"Per 100,000 inhabitants",,0.18
2013,,,,,"Per 100,000 inhabitants",,0.14
2022,,,,,"Per 100,000 inhabitants",,0.27
2023,,,,,"Per 100,000 inhabitants",,0.09
2014,,,,,"Per 100,000 inhabitants",,0.05
2021,,,,,"Per 100,000 inhabitants",,0.0
2011,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2019,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2013,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2012,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2023,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2010,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2018,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2022,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2020,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2014,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2017,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2021,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2015,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2016,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2021,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2018,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2016,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2015,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2014,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2019,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2011,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2013,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2022,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2012,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2010,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2020,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2017,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2023,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2011,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2021,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2017,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2012,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2020,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2014,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2016,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2013,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2019,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2018,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2015,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2023,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2010,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2022,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2017,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2019,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2011,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2018,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2020,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2012,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2014,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2023,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2010,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2013,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2021,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2022,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2016,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2015,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2022,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2020,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2016,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2021,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2015,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2011,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2014,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2019,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2013,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2023,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2012,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2017,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2018,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2010,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2022,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2013,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2016,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2021,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2010,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2018,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2019,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2020,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2023,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2017,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2015,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2011,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2014,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2012,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2018,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2022,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2011,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2010,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
