Year,Series,Units,Value
2017,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,83.6
2020,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,75.7
2016,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,81.1
2014,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,82.2
2012,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,75.5
2021,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,75.9
2018,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,83.0
2010,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,69.8
2013,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,80.3
2011,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,74.6
2019,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,86.0
2015,Zergetatik datozen administrazio publiko autonomikoen eta tokikoen diru-sarreren proportzioa,Porcentaje,80.8
2010,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,82.2
2011,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,82.0
2012,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,83.4
2013,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,89.9
2015,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,89.1
2016,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,88.9
2020,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,88.0
2014,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,90.9
2017,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,90.1
2018,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,90.6
2019,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,91.4
2021,"Administrazio publiko autonomikoen eta tokiko administrazioen sarrera ez-finantzarioen proportzioa, zergetatik datozenak",Porcentaje,87.0
