Year,Series,Umbral,Ingreso_cuantil,Units,Value
2022,SI_POV_50MI,AUT,B50,PT,10.0
2014,SI_POV_50MI,AUT,B50,PT,11.0
2016,SI_POV_50MI,AUT,B50,PT,10.0
2008,SI_POV_50MI,AUT,B50,PT,8.0
2012,SI_POV_50MI,AUT,B50,PT,8.7
2018,SI_POV_50MI,AUT,B50,PT,10.6
2020,SI_POV_50MI,AUT,B50,PT,11.1
2018,SI_POV_50MI,NAC,B50,PT,5.9
2016,SI_POV_50MI,NAC,B50,PT,4.8
2008,SI_POV_50MI,NAC,B50,PT,4.4
2014,SI_POV_50MI,NAC,B50,PT,5.2
2012,SI_POV_50MI,NAC,B50,PT,4.1
2020,SI_POV_50MI,NAC,B50,PT,6.0
2022,SI_POV_50MI,NAC,B50,PT,6.0
