Year,Series,Territorio histórico,Units,Value
2014,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,83.7
2010,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,103.5
2015,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,82.2
2018,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,71.4
2012,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,98.2
2016,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,78.5
2023,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,51.4
2022,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,52.2
2013,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,89.4
2021,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,56.5
2017,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,73.8
2019,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,68.0
2020,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,62.1
2011,Número de sucursales de bancos comerciales por cada 100.000 adultos ,,Por 100.000,101.0
2013,Número de sucursales de bancos comerciales por cada 100.000 adultos ,Gipuzkoa,Por 100.000,89.7
2011,Número de sucursales de bancos comerciales por cada 100.000 adultos ,Araba/Álava,Por 100.000,118.0
2019,Número de sucursales de bancos comerciales por cada 100.000 adultos ,Gipuzkoa,Por 100.000,70.8
2018,Número de sucursales de bancos comerciales por cada 100.000 adultos ,Gipuzkoa,Por 100.000,74.7
2017,Número de sucursales de bancos comerciales por cada 100.000 adultos ,Bizkaia,Por 100.000,71.0
2018,Número de sucursales de bancos comerciales por cada 100.000 adultos ,Bizkaia,Por 100.000,69.0
2023,Número de sucursales de bancos comerciales por cada 100.000 adultos ,Bizkaia,Por 100.000,49.6
2011,Número de sucursales de bancos comerciales por cada 100.000 adultos ,Gipuzkoa,Por 100.000,97.0
2014,Número de sucursales de bancos comerciales por cada 100.000 adultos ,Gipuzkoa,Por 100.000,86.1
