Year,Territorio histórico,Units,Value
2015,,%,36.4
2019,,%,44.7
2021,,%,45.4
2013,,%,28.2
2020,,%,47.2
2017,,%,39.3
2016,,%,38.0
2022,,%,47.4
2011,,%,25.6
2018,,%,41.5
2010,,%,24.7
2012,,%,28.5
2014,,%,33.3
2018,Araba/Álava,%,31.5
2022,Araba/Álava,%,44.9
2019,Araba/Álava,%,38.4
2021,Araba/Álava,%,38.9
2016,Araba/Álava,%,33.7
2014,Araba/Álava,%,27.0
2020,Araba/Álava,%,39.2
2017,Araba/Álava,%,31.3
2013,Araba/Álava,%,24.2
2015,Araba/Álava,%,30.6
2017,Bizkaia,%,34.8
2014,Bizkaia,%,28.2
2015,Bizkaia,%,28.7
2016,Bizkaia,%,31.2
2018,Bizkaia,%,35.8
2019,Bizkaia,%,37.9
2020,Bizkaia,%,38.1
2013,Bizkaia,%,26.6
2021,Bizkaia,%,37.1
2022,Bizkaia,%,39.2
2020,Gipuzkoa,%,69.3
2021,Gipuzkoa,%,63.4
2022,Gipuzkoa,%,63.5
2013,Gipuzkoa,%,31.9
2014,Gipuzkoa,%,41.9
2015,Gipuzkoa,%,48.3
2016,Gipuzkoa,%,48.4
2017,Gipuzkoa,%,48.7
2018,Gipuzkoa,%,52.9
2019,Gipuzkoa,%,59.3
