Year,Value,Units,Series
2023,66.4,Porcentaje,EU_COV_UNEMPLOY
2018,46.7,Porcentaje,EU_COV_UNEMPLOY
2017,45.7,Porcentaje,EU_COV_UNEMPLOY
2020,92.6,Porcentaje,EU_COV_UNEMPLOY
2022,61.3,Porcentaje,EU_COV_UNEMPLOY
2021,59.1,Porcentaje,EU_COV_UNEMPLOY
2019,53.5,Porcentaje,EU_COV_UNEMPLOY
2012,82.3,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2017,82.8,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2021,82.5,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2022,82.1,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2019,83.0,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2011,82.4,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2014,82.9,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2016,82.8,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2018,82.9,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2015,82.7,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2010,82.4,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2013,82.8,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2023,81.8,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
2020,82.9,Porcentaje,Proporción de personas perceptoras de pensiones contributivas
