Year,Value,Units,Series
2019,100.0,Porcentaje,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos
2020,100.0,Porcentaje,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos
2021,100.0,Porcentaje,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos
2017,100.0,Porcentaje,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos
2018,100.0,Porcentaje,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos
2016,100.0,Porcentaje,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos
2022,100.0,Porcentaje,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos
2019,82.1,Porcentaje,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC)
2017,84.0,Porcentaje,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC)
2016,82.6,Porcentaje,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC)
2021,81.3,Porcentaje,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC)
2022,76.1,Porcentaje,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC)
2020,81.3,Porcentaje,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC)
2018,81.9,Porcentaje,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC)
