Year,Value,Units,Series
2017,1081.0,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2020,1259.46,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2016,993.0,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2014,870.0,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2012,660.0,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2021,1406.46,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2018,1157.0,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2010,422.54,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2013,783.0,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2011,573.0,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2019,1215.46,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2015,944.0,Hectáreas,Superficie de suelo recuperado para nuevos usos (acumulado)
2010,4.58,Porcentaje,Superficie de suelo recuperado en proporción al total
2011,6.21,Porcentaje,Superficie de suelo recuperado en proporción al total
2012,7.15,Porcentaje,Superficie de suelo recuperado en proporción al total
2013,8.35,Porcentaje,Superficie de suelo recuperado en proporción al total
2015,10.0,Porcentaje,Superficie de suelo recuperado en proporción al total
2016,10.91,Porcentaje,Superficie de suelo recuperado en proporción al total
2020,13.99,Porcentaje,Superficie de suelo recuperado en proporción al total
2014,9.24,Porcentaje,Superficie de suelo recuperado en proporción al total
2017,11.37,Porcentaje,Superficie de suelo recuperado en proporción al total
2018,12.61,Porcentaje,Superficie de suelo recuperado en proporción al total
2019,13.19,Porcentaje,Superficie de suelo recuperado en proporción al total
2021,14.58,Porcentaje,Superficie de suelo recuperado en proporción al total
