Year,Value,Units,Series
2018,15931.4,Euros constantes,SI_AGR_LSFP
2016,8479.1,Euros constantes,SI_AGR_SSFP
2017,6744.6,Euros constantes,SI_AGR_SSFP
2015,7680.2,Euros constantes,SI_AGR_SSFP
2021,4033.8,Euros constantes,SI_AGR_SSFP
2021,18226.4,Euros constantes,SI_AGR_LSFP
2018,7612.6,Euros constantes,SI_AGR_SSFP
2019,7899.9,Euros constantes,SI_AGR_SSFP
2020,16492.3,Euros constantes,SI_AGR_LSFP
2020,3757.6,Euros constantes,SI_AGR_SSFP
2015,13529.1,Euros constantes,SI_AGR_LSFP
2016,15834.3,Euros constantes,SI_AGR_LSFP
2019,17862.3,Euros constantes,SI_AGR_LSFP
2017,19387.5,Euros constantes,SI_AGR_LSFP
