Year,Educacion,Competencia,Sexo,Units,Value
2018,ISCED11_2,SKILL_READ,,PT,77.0
2012,ISCED11_2,SKILL_READ,,PT,85.6
2015,ISCED11_2,SKILL_READ,,PT,82.6
2022,ISCED11_2,SKILL_READ,,PT,74.2
2022,ISCED11_2,SKILL_READ,F,PT,80.1
2015,ISCED11_2,SKILL_READ,F,PT,86.6
2018,ISCED11_2,SKILL_READ,F,PT,83.6
2012,ISCED11_2,SKILL_READ,F,PT,90.1
2022,ISCED11_2,SKILL_READ,M,PT,68.3
2018,ISCED11_2,SKILL_READ,M,PT,70.2
2012,ISCED11_2,SKILL_READ,M,PT,81.1
2015,ISCED11_2,SKILL_READ,M,PT,78.4
2018,ISCED11_2,SKILL_MATH,,PT,81.9
2022,ISCED11_2,SKILL_MATH,,PT,77.3
2012,ISCED11_2,SKILL_MATH,,PT,84.5
2015,ISCED11_2,SKILL_MATH,,PT,80.5
2022,ISCED11_2,SKILL_MATH,F,PT,78.0
2018,ISCED11_2,SKILL_MATH,F,PT,83.4
2015,ISCED11_2,SKILL_MATH,F,PT,79.9
2012,ISCED11_2,SKILL_MATH,F,PT,83.4
2022,ISCED11_2,SKILL_MATH,M,PT,76.7
2012,ISCED11_2,SKILL_MATH,M,PT,85.6
2015,ISCED11_2,SKILL_MATH,M,PT,81.1
2018,ISCED11_2,SKILL_MATH,M,PT,80.3
