Year,Value,Units,Series
2016,1.07,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2013,1.15,Ratio,Sector público (total)
2017,1.19,Ratio,Sector público (total)
2014,0.99,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2012,0.99,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2011,0.91,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2016,1.17,Ratio,Sector público (total)
2021,1.23,Ratio,Sector público (total)
2013,0.99,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2014,1.16,Ratio,Sector público (total)
2015,0.99,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2020,1.22,Ratio,Sector público (total)
2022,1.01,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2018,1.07,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2011,1.12,Ratio,Sector público (total)
2020,1.01,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2023,0.99,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2019,1.21,Ratio,Sector público (total)
2015,1.16,Ratio,Sector público (total)
2010,1.13,Ratio,Sector público (total)
2017,1.07,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2022,1.23,Ratio,Sector público (total)
2010,0.91,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2023,1.29,Ratio,Sector público (total)
2021,1.01,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2012,1.14,Ratio,Sector público (total)
2019,1.07,Ratio,Proporción de mujeres parlamentarias (proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población
2018,1.16,Ratio,Sector público (total)
