Year,Value,Units,Series
2012,26.19,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación
2014,27.16,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación
2015,27.26,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación
2016,27.01,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación
2017,26.84,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación
2018,27.15,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación
2019,27.7,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación
2020,27.43,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación
2021,26.96,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación
2022,26.65,Porcentaje,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación
