Year,Value,Units,Series
2018,44914.3,Euros constantes,PD_AGR_LSFP
2016,10978.5,Euros constantes,PD_AGR_SSFP
2017,12294.5,Euros constantes,PD_AGR_SSFP
2015,10150.0,Euros constantes,PD_AGR_SSFP
2021,10509.0,Euros constantes,PD_AGR_SSFP
2021,50293.1,Euros constantes,PD_AGR_LSFP
2018,12030.9,Euros constantes,PD_AGR_SSFP
2019,10646.1,Euros constantes,PD_AGR_SSFP
2020,45942.5,Euros constantes,PD_AGR_LSFP
2020,9818.3,Euros constantes,PD_AGR_SSFP
2015,43924.4,Euros constantes,PD_AGR_LSFP
2016,43308.1,Euros constantes,PD_AGR_LSFP
2019,46168.5,Euros constantes,PD_AGR_LSFP
2017,42600.2,Euros constantes,PD_AGR_LSFP
