Year,Value,Units,Series
2000,8.9,Porcentaje,EU_INDQTHSNG_HUMID
2004,9.6,Porcentaje,EU_INDQTHSNG_HUMID
2008,7.7,Porcentaje,EU_INDQTHSNG_HUMID
2012,8.8,Porcentaje,EU_INDQTHSNG_HUMID
2014,11.8,Porcentaje,EU_INDQTHSNG_HUMID
2016,12.3,Porcentaje,EU_INDQTHSNG_HUMID
2018,14.2,Porcentaje,EU_INDQTHSNG_HUMID
2020,10.5,Porcentaje,EU_INDQTHSNG_HUMID
2022,12.4,Porcentaje,EU_INDQTHSNG_HUMID
2000,0.3,Porcentaje,EU_INDQTHSNG_TOILET
2004,0.9,Porcentaje,EU_INDQTHSNG_TOILET
2008,0.4,Porcentaje,EU_INDQTHSNG_TOILET
2012,0.0,Porcentaje,EU_INDQTHSNG_TOILET
2014,0.0,Porcentaje,EU_INDQTHSNG_TOILET
2016,0.0,Porcentaje,EU_INDQTHSNG_TOILET
2018,0.0,Porcentaje,EU_INDQTHSNG_TOILET
2020,0.0,Porcentaje,EU_INDQTHSNG_TOILET
2022,0.0,Porcentaje,EU_INDQTHSNG_TOILET
2000,28.5,Porcentaje,EU_INDQTHSNG_OVERCROWD
2004,21.3,Porcentaje,EU_INDQTHSNG_OVERCROWD
2008,15.0,Porcentaje,EU_INDQTHSNG_OVERCROWD
2012,14.9,Porcentaje,EU_INDQTHSNG_OVERCROWD
2014,13.3,Porcentaje,EU_INDQTHSNG_OVERCROWD
2016,12.7,Porcentaje,EU_INDQTHSNG_OVERCROWD
2018,13.1,Porcentaje,EU_INDQTHSNG_OVERCROWD
2020,16.4,Porcentaje,EU_INDQTHSNG_OVERCROWD
2022,13.3,Porcentaje,EU_INDQTHSNG_OVERCROWD
2000,20.2,Porcentaje,EU_INDQTHSNG_NOISE
2004,16.0,Porcentaje,EU_INDQTHSNG_NOISE
2008,11.0,Porcentaje,EU_INDQTHSNG_NOISE
2012,13.9,Porcentaje,EU_INDQTHSNG_NOISE
2014,8.5,Porcentaje,EU_INDQTHSNG_NOISE
2016,9.2,Porcentaje,EU_INDQTHSNG_NOISE
2018,9.2,Porcentaje,EU_INDQTHSNG_NOISE
2020,8.9,Porcentaje,EU_INDQTHSNG_NOISE
2022,8.0,Porcentaje,EU_INDQTHSNG_NOISE
2004,8.8,Porcentaje,EU_INDQTHSNG_LIGHT
2008,5.7,Porcentaje,EU_INDQTHSNG_LIGHT
2012,12.2,Porcentaje,EU_INDQTHSNG_LIGHT
2014,3.3,Porcentaje,EU_INDQTHSNG_LIGHT
2016,5.4,Porcentaje,EU_INDQTHSNG_LIGHT
2018,4.0,Porcentaje,EU_INDQTHSNG_LIGHT
2020,3.3,Porcentaje,EU_INDQTHSNG_LIGHT
2022,3.1,Porcentaje,EU_INDQTHSNG_LIGHT
