Year,Value,Units,Series,GeoCode
2020,92.6,Porcentaje,Proporción de personas desempleadas que reciben prestaciones por desempleo,
2019,53.5,Porcentaje,Proporción de personas desempleadas que reciben prestaciones por desempleo,
2022,61.3,Porcentaje,Proporción de personas desempleadas que reciben prestaciones por desempleo,
2018,46.7,Porcentaje,Proporción de personas desempleadas que reciben prestaciones por desempleo,
2017,45.7,Porcentaje,Proporción de personas desempleadas que reciben prestaciones por desempleo,
2023,66.4,Porcentaje,Proporción de personas desempleadas que reciben prestaciones por desempleo,
2021,59.1,Porcentaje,Proporción de personas desempleadas que reciben prestaciones por desempleo,
2022,82.1,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2018,82.9,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2019,83.0,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2014,82.9,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2021,82.5,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2012,82.3,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2011,82.4,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2017,82.8,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2016,82.8,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2010,82.4,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2013,82.8,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2015,82.7,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2023,81.8,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2020,82.9,Porcentaje,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,
2020,50.9,Por 1.000 habitantes,Proporción de personas perceptoras de la Renta de Garantía de Ingresos (RGI),
2023,52.5,Por 1.000 habitantes,Proporción de personas perceptoras de la Renta de Garantía de Ingresos (RGI),
2019,50.9,Por 1.000 habitantes,Proporción de personas perceptoras de la Renta de Garantía de Ingresos (RGI),
2021,53.0,Por 1.000 habitantes,Proporción de personas perceptoras de la Renta de Garantía de Ingresos (RGI),
2022,53.5,Por 1.000 habitantes,Proporción de personas perceptoras de la Renta de Garantía de Ingresos (RGI),
2010,46.8,Plazas,Plazas en centros residenciales,
2013,44.1,Plazas,Plazas en centros residenciales,
2015,43.2,Plazas,Plazas en centros residenciales,
2016,43.3,Plazas,Plazas en centros residenciales,
2018,42.5,Plazas,Plazas en centros residenciales,
2017,42.7,Plazas,Plazas en centros residenciales,
2014,43.5,Plazas,Plazas en centros residenciales,
2011,46.1,Plazas,Plazas en centros residenciales,
2019,42.4,Plazas,Plazas en centros residenciales,
2015,9.3,Plazas,Plazas en centros de día ,
2013,9.2,Plazas,Plazas en centros de día ,
2016,9.4,Plazas,Plazas en centros de día ,
2011,9.0,Plazas,Plazas en centros de día ,
2019,9.2,Plazas,Plazas en centros de día ,
2010,9.0,Plazas,Plazas en centros de día ,
2018,9.1,Plazas,Plazas en centros de día ,
2017,9.3,Plazas,Plazas en centros de día ,
2014,9.3,Plazas,Plazas en centros de día ,
